stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,hatching_gland,immune,ionocyte,liver,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,presomitic_mesoderm,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,0,11.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.52,85.47,0,0,0,0,0,0,0,0,0,0,0,0,32.84,0,0,0,0,0,0,0,0
  7-9,0,3.21,0,0,0,0,0,0,0,0,0,0,0,0,78.7,0,0,20.22,0,0,0,0,0
 10-12,0,0,5.85,0,0,3.12,0,0,0,0,0,0,0,0,131.35,12.33,0,5.53,0,4.76,0,0,0
 14-21,0,0,0,2.87,1.65,0,0,0.85,0.98,0,0,0,1.24,0.83,3.66,0,0,0,0,0,6.49,0,0
 24-34,0,0,0.84,1.12,0,3.11,0,0,0,0,1.75,0,1.15,0.9,6.06,0.63,0,0,0.99,0,0.73,0.79,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.93,0,0.86,0,0,0,0.57,2.6,0
 48-58,0,0,0,0,0,1.95,0,0,0,0,0,0,3.07,0,1.19,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,3.14,3.7,0,0,1.03,0,0,0,0,0,0,1.19,0,0,0,0,0,0
 72-82,0,0,0,0,0,1.27,0,0,0,0,0,0,3.43,0,3.49,0,0,0,0,0,0.82,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0,0,0,0,0,0,0,1.56,2.26
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,2.88,0,1.73,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0.97,4.71,0,4.3,0,0,0,0,0,0,0,0
120,0,0,0,2.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
