stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,109.94,2623.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6,0,0,0,0,0,0,0,0,0,0,0
  5-6,165.75,2091.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.27,11.17,0,0,30.94,0,19.49,0,0,0,0,0,0,0,0,0,0,0
  7-9,103.65,86.39,0,0,0,0,0,156.2,0,0,0,0,0,103.63,0,0,0,0,0,0,0,0,0,0,3266.72,394.19,0,0,569.9,0,0,5.11,0,0,0,0,0,0,0,0,0,0
 10-12,0,45.66,0,55.55,0,10.56,0,157.15,0,0,0,0,0,106.3,0,0,0,0,0,0,0,0,0,0,1768.14,136.11,0,0,770.76,0,0,15.89,0,77.1,0,7.11,5.32,0,0,0,0,0
 14-21,0,0,2.18,0.81,72.62,12.83,0,10.25,0,0,0,3.15,1.98,3.16,0.85,0,0,0,0,0,0,16.11,0,18.68,287.76,32.09,9.62,0.84,13.23,0,0,0,15.64,8.6,0.92,30.1,206.1,0,0,0,0,0
 24-34,0,0,2.68,2.08,15.02,0,0,24.1,0,3.65,4.69,6.34,0,0,2.42,4.11,0,0,4.08,1.33,0,25.97,0,21.48,982.97,8.22,23.31,10.96,0,0,4.98,0,0,7.18,6.9,5.72,219.78,0,0,7.1,0,0.69
 36-46,0,0,1.8,0,5.61,0,0,62.69,6.78,0,0,19.56,0,0,1.47,0,0,0,2.02,0,0,39.81,0.67,8.95,1575.05,3.79,21.47,4.68,0,0,3.89,1.61,0,0,0,0,271.66,0,0,5.48,0,1.72
 48-58,0,0,0.54,0,16.16,0,0,216.8,0.61,0.45,5.38,48.92,0,0,0.45,4.8,0,0,1.31,0,0.59,57.4,3.08,16.73,2032.82,6.97,11.56,11.53,0,0,5.84,0,0,0.51,0,0,345.06,0,0,6.3,0,0
 60-70,0,0,1.68,0,9.22,0,0,560.04,1.41,0,1.55,79.12,0.85,1.21,0.9,3.42,11.22,0.82,7.51,0,0,99.04,1.28,3.37,3043.2,0,18.06,17.29,0,0,3.87,0,0,0.6,0,0,322.02,2.05,2.9,0.93,2.77,5.75
 72-82,0,0,2.96,0,8.61,2.43,0,542.52,2.97,4.54,0.59,72.44,0.56,0,0,1.02,0,0,8.26,0,0,104.81,0.97,9.57,2143.52,0.58,19.36,33.97,0,1.77,4.75,0,0,0,0,0,151.68,3.82,1.99,3.65,2.49,8.33
 84-94,0,0,3.72,0,6.66,7.14,0,390.68,0.56,1.97,2.88,55.36,7.78,0,1.92,0.64,0,0.81,4.55,0,9.63,73.37,8.97,9.84,1446.32,4.96,17.86,23.36,0,0,15.86,0,0,0.96,0,0,131.16,6.99,0.63,1.47,0.62,9.33
 96-106,0,0,2.03,0,16.25,3.82,0,236.44,1.62,0,0,49.26,5.77,0,2.24,1.73,0.99,0,14.84,0,1.03,39.53,1.99,7.28,1012.03,0,25.31,25.19,0,0,11.64,0,0,1.18,0,0,36.41,12.19,3.99,5.53,0.61,6.38
108-118,0,0,2.01,0.74,20.71,0,1.33,186.26,0,0,0,45.07,1.72,0,0,1.67,0.49,0,7.04,0.42,0,49.9,2.34,2.98,1185.78,0,16.79,23.1,0,8.23,9.2,0,0,0,0.41,0,30.7,3.17,0,5.38,1.07,0
120,0,0,6.69,0,8.76,0,0,220.54,0,0,3.55,59.68,8.37,0,0,3.52,0,0,7.16,1.5,0,43.39,0,1.81,1557.36,1.37,3.63,43.69,0,0,10.11,0,0,0,0,0,41.72,1.19,15.08,1.15,1.59,0
