stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,heart,immune,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,41.79,109.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.57,0,0,0,0,0,0,0,0
  5-6,12.49,265.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,12.03,0,3.69,0,0,0,28.32,0,0,0,0,0,0,0,0,0,0,0,141.7,0,0,0,10.59,0,5.74,0,0,0,0,0,0,0
 10-12,0,15.14,0,14.36,0,0,0,77.62,0,0,0,0,0,0,0,0,0,0,0,541.95,6.7,0,0,24.59,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.71,1.22,16.87,17.27,0,11.79,0,0,0,1.78,0,0,0,0,10.22,0,3.73,266.11,0.84,0,0,2.37,2.82,0,1.31,0,4.77,44.31,0,0,0
 24-34,0,0,0,0,0,0,0,2.49,0,0.77,0,0,1.37,0,0,0,0,0,0.9,116.75,0,0,3.26,0,7.93,0,0,0,0,22.94,1.92,0,0.89
 36-46,0,0,0,0,2.38,0,0,1.5,0,0,0,0,0,0,0,0,0.67,0.56,0.57,214.83,0,0,0,0,1.07,0,0,0,0,25,2.7,0,0
 48-58,0,0,0,0,0,0,0,14.38,0.89,1.94,0,0,0.59,0,0.51,0,0.46,0,0.45,109.49,0,0,0,0,0.53,0,0,0,0,9.17,0.38,0,2.3
 60-70,0,0,1.14,0,1.3,0,0,17.18,0,5.49,0,0,0,0,0,0,0,0,0,177.12,0,0,0,0,8.16,0,0,0,0,2.5,0,0,0
 72-82,0,0,0.91,0,5.38,0,0,16.39,0,0.56,0.65,0,0.73,0,0,0,9.29,0,0,341.62,0,0,0,0,0,0,0,0,0,2.53,0,0,0
 84-94,0,0,0,0,0.65,0,0,27.01,0,13.97,4.72,0,0,0,0,0,1.66,0,0,407.54,0,0,0.74,0,1.74,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,2.75,0,0.63,18.65,0,6.89,0.83,0,6.88,0.59,0,1.81,5.5,0,0,439.77,0,1.84,0.87,0,5.77,0,0,0,0,0.68,0,1.21,0
108-118,0,0,0,0,0.71,1.84,3.55,27.89,0,22.38,0,0,1,0,0,0,1.64,2.74,1.21,862.91,0,0,1.75,0,0.75,0,0,1.07,0,0,0,0,0
120,0,0,0,0,2.53,2.22,0,23.94,0,37.4,0,0,1.26,0,0,0,11.58,0,0,1891.33,0,0,0,0,2.05,0,0,0,0,2.78,0,4.22,0
