stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,0,102.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.23,172.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.69,6.85,7.11,0,9.55,0,0,0,0,0,0,0,0,0,0,0,0,0,75.87,0,0,0,27.86,0,0,0,0,0,0,0,0
 10-12,0,0,5.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.54,0,0,0,24.49,0,0,0,0,0,0,0,0
 14-21,0,0,1.65,5.84,3.98,0,0,0,1.99,0,0,0,0,0,0,2.8,0,1.83,47.93,0,0,0,0,0,0,4.91,0,5.12,14.05,2.49,0
 24-34,0,0,0,1.25,18.35,0,0,5.62,0,0,0,0,0,0,0.69,10.69,0,3.18,135.75,0,0,0.61,0,0,0.88,0,0,0.62,21.73,1.88,0
 36-46,0,0,0,0,7.68,0,0,1.16,0,0,0,0,0,0,0,3.18,0,1.2,75.26,0,2.77,2.78,0,0,0,0,0,0,20.17,0.58,0
 48-58,0,0,0,1.16,9.68,0,0,10.8,0,0,0.48,0.4,0,0,0,5.1,0,1.4,33.58,0.43,0,0,0,0,0,0,0.38,0,9.63,0.39,0
 60-70,0,0,0,0.87,17.71,0,0,9.85,0,0,0,0,0,0,0,13.48,0,1.91,19.03,0,0,0,0,0,0,0,0,0,6.52,0,0.98
 72-82,0,0,0,3.16,10.25,0,0,2.97,0,2.58,0,0.57,2.08,0,0,11.88,0,0.6,15.18,0,0,0,0,0,0,0,0,0,2.03,0,0.71
 84-94,0,0,0,1.39,14.22,0.56,0,1.68,0,0.98,0,0,0,0,0,10.62,0,0.6,17.21,0,0,0,0,0,1.22,0,0.62,0,0,0,0.68
 96-106,0,0,0,4.43,7.66,0,0.76,0,0,0,0,0,0,0,6.59,5.69,2.99,0.58,24,0,0.57,0,0,0,0,0,0,0,1.3,0,0
108-118,0,0,0,4.19,4.47,0,0,0,0.54,0,0,0,0,0,0,9.5,0,0.5,26.93,0,0,0.42,0,2.89,1.04,0,0,0,0.57,2.48,0
120,0,0,0,0,0,0,0,6.14,0,0,1.25,0,0,6.57,0,6.54,0,0,14.24,0,0,0,0,0,0,0,0,0,0,4.7,0
