stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,774.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.29,0,0,0,0,0,0,0,0,0
  5-6,65.25,874.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.37,6.31,0,16.68,0,0,32.56,0,0,0,0,24.29,0,0,0,0,0,0,0,0,0,0,408,4.16,0,0,139.38,0,0,0,0,0,0,0,0,0,0
 10-12,7.59,7.49,0,35.82,0,0,18.13,0,0,0,0,13.68,0,0,0,0,0,0,0,0,0,0,316.95,11.35,0,0,108.22,0,0,25.58,0,0,0,0,0,0,0
 14-21,0,0,1.09,2.91,10.48,4.15,10.46,0,0,6.18,0,0,0,0,4.72,0,0,0,10.75,0,0,7.17,123.98,4.1,0,1.82,1.89,0,10.53,0.94,0,21.11,49.59,0,0,0,0
 24-34,0,0,0.8,1.93,2.27,3.88,15.8,0,0.61,8.11,0,0,1.24,0,0.69,0,0,0,27.33,0,0.89,7.95,166.01,0,1.18,1.8,0,10.44,0,0,0,2.73,34.95,0,15.47,0,0.79
 36-46,0,0,0,0,3.1,0,31.64,0,0,7.13,0,0,0,0,0,0,0,0,20.48,0.72,0.6,1.2,162.71,4,3.4,1,0,5.86,0,0,0,0,39.4,0,6.8,0,1.47
 48-58,0,0,0,0,8.8,0,28.92,0.41,0.6,15.69,0,0,0,0,0,1.9,1.93,0,13.84,0,0.38,3.89,135.81,0,7.66,0.38,0,9.38,0,0,0,0,19.72,0,6.2,0,0
 60-70,0.81,0,0,0,2.88,0,32.73,0,0,8.59,0,0,0,0.7,0,0,0,0,14.12,1.85,0.93,0.68,151.76,4.6,1.8,3.63,0,0,0,0,0,0,33.2,0,2.47,0,0
 72-82,0,0,0.58,0,8.62,0,83.81,0,0,9.65,0.53,0,0,0.49,0.53,0,2.5,0,27.56,2.29,0,0,193.46,0,0.87,0.71,0,1.21,0,0,0.53,0,15.48,0,0,3.84,0
 84-94,0,0,0,0,6.14,3.41,40.16,0.55,6.59,7.15,1.22,0,0,1.47,0,0,0,0,9.05,0,2.35,0,112.42,0.6,2.63,0.76,0,4.09,0,0,0,0,14.37,1.06,7.7,2.61,0
 96-106,0,0,0,0,1.53,1.54,58.04,0,0,6.64,0.67,0,0.71,0,0,0,0,0,13.17,0,0,4.16,81.96,0,4.52,0,0,11.33,0,0,0,0,10.12,0,3.02,0,0
108-118,0,0,0,0,7.07,0.91,74.13,0,0,24.82,1.51,0,2.02,0.44,1.57,0,0,1.68,12.16,0,2.74,2.23,120,0,0,0,0,0.92,0,0,0,0,2.46,5.48,0.59,0,2.41
120,0,0,0,0,2.83,0,67.57,0,0,5.95,0,0,0,0,0,0,0,0,34.1,0,0,2.22,73.59,0,0,0,0,7.23,0,0,0,0,0,0,0,0,0
