stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,91.59,1597.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.84,0,0,0,0,0,0,0,0,0,0
  5-6,63.97,646.18,0,10.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.2,25.22,0,7.99,0,0,0,262.72,0,0,0,0,0,15.53,0,0,0,0,0,0,0,0,0,0,0,527.27,45.54,0,0,120.87,0,8.05,0,0,0,0,0,0,0,0,0,0
 10-12,0,101.02,0,17.18,0,16.41,0,367.6,0,0,0,0,0,4.67,0,0,0,0,0,0,0,0,0,0,0,4220.65,141.59,0,0,1332.73,0,0,0,4.43,4.37,0,116.47,0,0,0,0,0
 14-21,0,0.93,0,0.91,65.45,16.17,0,1422.9,0,0,0,8.91,1.78,1.34,0,0,0,0,0.84,0,0,115.88,0,0,537.06,3831.56,532.16,0,96.52,9.5,0,8.35,0,885.49,8.01,585.01,5044.89,197.78,0,0,0,0
 24-34,0,0,1.37,0.67,12,0,0,311.61,2.21,0,5.12,16.73,0.71,0,2.53,0,0.79,0,2.58,3.1,0,363.46,0,2.04,260.32,2355.56,209.71,3.05,59.61,1,0,4.95,0,4.01,1.3,92.75,493,134.05,0,8.72,0,0
 36-46,0,0,0,0,24.41,0,0,86.47,1.93,0,5.85,115.97,0,0,2.5,0,0,0.86,0,0,0,457.65,0,4.52,143.41,1408.01,182.84,4,64.2,0,0,0,0.65,0,1.84,32.03,1.4,74.91,0,1.47,0,1.24
 48-58,0,0,0,0,8.67,0,0,88.39,1.55,0,3.88,204.38,0,0.74,0.39,0,0,5.66,3.82,0,1.04,636.49,0,19.96,109.93,682.53,114.05,2.8,40.98,0,0,4.04,0,0,0,10.43,0,21.13,3.78,2.19,0,0.4
 60-70,0,0,1.79,0,12.47,0,0,55.91,7.35,5.31,8.68,190.22,0,0,0,0,0.71,41.58,0,9.67,3.9,774.56,0,51.59,108.65,297.46,34.31,6.41,25.4,0,0.82,0,0,0,0,6.05,0,16.73,21.5,2.15,12.57,0
 72-82,0,0,0,0,3.39,0,0,62,3.2,0.58,11.38,86.2,0.72,0,0,0,0,32.75,1.85,3.49,0,809.41,4.17,43.85,72.05,219.55,32.04,1.44,43.74,0,7.28,2.28,0,0,0,0.53,0,13.98,39.43,0,62.83,0
 84-94,0,0,0,0,13.14,0,0,63.4,5.21,0,6.45,67.4,1.94,0,0,3.42,0,41.05,0,0,0,591.8,0,26.49,100.16,168.85,64.94,1.96,35.29,0,0.6,3.33,0,0,1.17,1.91,0,13.55,43.91,1.94,51.39,0
 96-106,0,0,0,0,10.83,1.74,1.05,60.41,1.6,0,8,123.16,1.67,0,0,2.96,0,102.38,0,1.4,0,498.6,1.42,14.18,71.21,176.74,37.74,1.96,30.52,1.2,3.52,5.06,0,0,1.31,1.82,0,7.21,52.23,0,77.76,4.75
108-118,0,0,0,0,10.87,0,0,71.84,2.88,1.75,6.28,105.6,1.66,0,0,2.62,0,151.39,1.73,0,0,566.26,3.37,13.92,84.52,216.55,63.64,2.12,40.58,0,1.8,1.34,0,0,0,2.08,0,5.97,73.19,0,47.27,0
120,1.12,0,0,0,13.8,0,0,109.54,6.39,0,5.22,74.33,0,0,0,12.7,0,108.98,1.69,0,0,494.8,0,53.11,69.67,174.47,76.26,21.16,30.57,0,8.16,0,0,0,0,0,0,12.44,34.23,0,99.74,0
