stage,epidermis,eye,glial,ionocyte,mesenchyme,muscle,neural,olfactory,periderm,presomitic.mesoderm,somites,spinal.cord
 14-21,2.29,0.89,0,0,0,0,1.09,0,0,2.33,0.8,2.41
 24-34,0,0,0,0,0,0,3.56,0,0,0,0,0
 36-46,2.86,0,0,0,1.06,0,15.45,0,0.78,0,0,0.87
 48-58,1.7,0.42,0,0.46,0,0.53,13.66,1.15,0,0,0,0.5
 60-70,0,4.55,0,0,0,0,8.42,0,1.26,0,0,0
 72-82,0,6.21,1.58,0,0,0,11.3,0,0.62,0,0,1.54
 84-94,0,2.51,0,0,0,0,5.49,4.44,0.64,0,0,0
 96-106,1.75,0,1.3,0,0,0,3.82,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,2.04,0,0,0
120,0,0,0,0,0,0,7,0,4.27,0,0,0
