stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.29,0,0,15.29,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,8.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.32,0,0,0,0,7.35,0,0,0,0,0
 14-21,0,1.18,161.06,0,0,0,0,0,0,0,0,134.8,0,0,0,0,0,0.94,0,0,0,1.8,0,0,0,0,0,0.9,2.16,0,0,2.06,0,23.64,0
 24-34,0,1.57,40.12,0,0.61,0,0.67,0,0,0,1.57,223.69,0,1.91,0,0,2.59,2.22,0,0,1.61,24.68,1.34,0,0,0,10.25,0,0,0.63,0,5.78,0,120.34,0.69
 36-46,0,0,1.38,0,6.92,0,0,0,0,0,0.75,299.71,0,0.65,0,0,0,2.32,0,0,0,17.78,0,0,0,0,0,0,0,0,0,3.3,0,74.27,0.85
 48-58,0,0.53,0,0,0,0,0,0,0,0,4.09,251.78,0,0,0,0,1.27,8.52,0,0,0,20.23,0.64,0,0,0,0,0,0,0,0,13.13,0,56.96,0
 60-70,0,0,0.65,0,3.3,0,0,0,0.6,0,2.79,262.88,0,0,0,0,0,2.25,0,0,0,21.34,0,0,0,0,0,0,0,0,0,2.49,0,60.12,6.89
 72-82,0,0,8.53,0,10.72,1.65,0,0.67,4.44,0.66,5.46,425.43,0,0,0,0,0.87,7.42,0,0,0,28.15,1.1,0,0,0,2.85,0,0,0,1.5,10.31,0,88.99,0
 84-94,0,0.62,5.11,0,6.98,0,0,0,0,0,0,523.92,0,0,0,0,3.34,13.37,0,0,0,22.96,0,0,0,0,0,0,0,0,0,4.56,0,77.55,0
 96-106,0,6.33,21,0,10.81,0,0,0,2.14,0.63,10.98,593.36,0,0,0,9.71,4.48,11.37,0,0,0,15.48,7.26,0,0,3.21,3.99,0,0,0,0,0,0,156.05,0
108-118,0,0.42,8.29,0.72,12.49,0,0,2.97,1.83,0.64,0.47,624.75,0,0,0.98,0,1.43,7.71,1.15,1.53,1.57,19.82,1.62,0,0,0,0.8,0,0,0.62,0,2.59,0,102.47,0
120,0,0,8.89,0,6.62,0,0,0,5.29,0,0,477.02,3.64,1.58,0,0,0,2.06,0,0,1.42,37.79,0,7.86,0,0,0,0,0,0,0,0,1.54,91.72,0
