stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,177.59,2315.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.22,0,0,0,0,0,0,0,0,0,0
  5-6,52.34,1032.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.29,0,0,46,0,0,0,31.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.78,0,0,0,52.95,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,7.68,0,54.81,0,0,0,19.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262.39,40.42,0,0,38.03,0,0,0,3.8,0,0,0,0,0,0,0,0
 14-21,0,0,5.07,6.38,72.73,11.41,0,11.98,0,0,0,13.35,3.84,0,0,0,0,0.87,0,0,6.34,37.34,0,0,18.61,290.83,257.06,1.19,2.03,6.68,0,5.03,10.21,2.85,9.52,15.99,121.92,0,0,6.09,0,4.95
 24-34,0,0,2.93,1.66,32.52,1.27,0,25.9,2.95,7.55,1.39,19.34,3.89,0,3.55,0,0,7.24,3.01,0,43.49,88.44,0,1.77,42.19,892.84,22.06,6.48,34.7,0,0,37.93,0,1.52,13.86,7.9,237.13,0,0,22.04,0,12.11
 36-46,0,0,0,0.96,29.38,0.76,0,88.45,23.73,0.66,0,40.28,0,1.26,3.41,0,0,7.6,2.78,5.07,15.32,119.72,0,2.14,30.09,1429.94,14.14,17.23,20.16,7.09,0,34.31,0,2.83,32.93,0,336.36,0,0,28.02,0,10.73
 48-58,0,0,0,0,19.45,0,0,350.58,18.42,16.5,3.68,85.68,1.15,0.57,0.94,8.43,0,19.26,1.5,2.28,14.84,126.84,6.26,8.8,16.44,1708.57,12.31,4.96,18.49,0,0,34.58,0,0,11.49,0,330.94,0,0.84,5.54,0,31.77
 60-70,0,0,0,0,13.04,0,0,1122.94,16.88,6.17,4.79,120.25,0.7,1.21,3,0.81,0.61,34.15,9.05,0,14.52,182.41,0,3.88,28.49,2160.83,25.48,7.01,10.97,0,0.84,38.47,0,0.91,3.07,0,318.04,0,1.8,21.58,0.8,17.49
 72-82,0,0,0.71,0,17.74,2.99,0,1479.1,9.26,1.31,10.15,148.23,1.12,0,3.85,2.57,0.52,20.29,2.51,0,1.03,210.35,1.34,6.93,15.83,1666.41,5.48,8.34,23.35,0,6.78,35.84,0,0.9,3.38,0,161.54,4.48,10.32,17.57,1.71,26.87
 84-94,0,0,0.98,0,37.6,1.91,0,1248.02,3.19,8.61,3.81,165.12,0.58,3.06,5.23,1.52,2.68,27.71,4.43,0,16.27,259.68,0,14.81,25.72,1217.11,2.48,4.08,17.71,0,0,84.26,0,1.07,3.05,0,154.69,1.6,4.45,28.95,10.76,5.35
 96-106,0,0,4.87,0,29.49,0,0,1334.98,17.04,3.26,10.74,206.2,5.69,0,8.81,2.1,2.61,36.51,15.13,4.79,0.68,232.21,0,5.45,21.81,980.33,0,13.48,21.32,0,1.54,61.39,0,2.52,2.11,0,79.43,4.74,5.91,17.14,4.26,15.81
108-118,0,0,4.09,0,51.96,6.65,2.33,1171.92,10.32,7.87,10.37,174.91,3.08,0,2.69,5.24,2.39,64.51,10.57,13.49,3.83,209.37,0,4.98,18.76,1380.72,3.19,11.74,33.14,0,2.43,49.46,0,3.95,2.55,0,46.2,1.84,6.88,23.58,6.84,28.3
120,0,0,0,0,70.77,1.08,0,987.84,6.05,15.06,2.83,300.75,12.48,0,12.32,5.69,1.05,54.14,7.11,0,6.41,257.72,4.23,0,25.95,2000.23,15.08,7.84,31.16,0,23.87,33.26,0,0,1.21,0,84.59,5.62,0,51.89,6.37,8.94
