stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,vasculature,xanthophores
  3-4,11.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,59.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.87,0,0,0,0,0,0,0,0,0,0
  7-9,6.96,0,0,0,24.54,0,0,0,3.35,0,0,0,0,0,0,0,79.11,0,0,18.87,0,4.57,0,0,0,0,0
 10-12,0,10.21,0,0,3.4,0,0,0,0,0,0,0,0,0,0,0,90.04,0,0,25.49,0,0,0,7.7,0,0,0
 14-21,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,5.59,0,0,0,0,0,1.17,0,3.39,1.09,0
 24-34,0,0,0.72,0,1.56,0.64,1.05,2.67,0,0,0,0,4.77,0,0,0.87,29.06,0,0.76,0,0,0,0,0,8.01,0,0
 36-46,0,0,0,0,8.25,0,4.44,0,0,1.33,0,0,1.71,0,0,0.84,42.04,0.92,0,0,0.82,0,0,0,8.66,2.81,0.67
 48-58,0,0,0,0,19.81,0,3.9,0,0,0,0,0,1.82,0,0.68,1.18,21.57,0,3.13,0,0,0,0,0,7.8,0,0
 60-70,0,0,0,0,31.45,0.84,0,0,0,0,0,0,4.51,0,0,0,22.99,0,0,0,0,0,0,1.79,14.86,0,0
 72-82,0,0,0,3.87,17.84,1.08,3.62,0.53,0,0,0,0,4.31,0,0,0.56,21.98,0,0,0,0,0,0,0,4.33,0,0
 84-94,0,0,0.56,1.86,21.95,0,8.02,0,0,0,3.05,0,11.54,3.28,0,0,15.43,0,1.8,0,0,0,0,0,0.75,0,0
 96-106,0,0,0.9,0.64,14.81,1.02,0,0,0,0,0,0,13.7,0,1.32,2.43,7.56,0,0,0,0,0,0,0,1.07,2.41,1.44
108-118,0,0,0,5.95,1.32,0,8.2,0,0,0,0,0.64,12.22,0,0,1.97,6.08,0,0,0,0.6,0,0,0,0,0,0
120,0,0,0,11.68,15.64,5.31,5.74,0,0,0,4.53,0,5.82,0,0,0,41.42,0,0,0,0,0,0,0,0,0,0
