stage,axial,blastomeres,glial,neural,paraxial_mesoderm,slow_muscle,spinal_cord
  3-4,15.87,71.91,0,0,0,0,0
  5-6,0,49.1,0,0,0,0,0
  7-9,6.56,0,0,0,5.44,0,0
 36-46,0,0,0,2.54,0,0,0
 48-58,0,0,0,2.7,0,2.16,1.45
 84-94,0,0,0,0,0,0,0.62
108-118,0,0,1.14,12.67,0,0,0
120,0,0,0,5.53,0,0,0
