stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
 14-21,0,25.5,0,1,0,0,0,0,0,0,0,0,0,0,0,1.15,0,1.08,12.41,0,0,0,0,0
 24-34,0,65.49,0,2.95,0,5.38,0,0,0.62,8.21,0,0,0.62,0,0,9.79,0,1.59,55.53,0,2.98,0,0,0
 36-46,0,98.39,0,1.52,0,9.6,0,0,3.96,13.49,0,0,0.61,7.55,0,7.53,0,0,146.47,0,1.36,0,0,0
 48-58,0,76.5,1.69,4.35,0,21.88,0.47,0,0.37,21.33,0,0,4,3.89,0,30.9,0,0,140.82,0,5.1,0,0.41,0
 60-70,0,82.74,0,17.16,0,16.92,0,0,0.86,34.24,0.84,0,0,0.7,0,13.53,0,0,135.28,0,0,0,0,0
 72-82,0.78,70.66,0,9.59,6.88,6.9,4.58,1.54,2.33,47.37,0,0,3.02,2.18,0,14.79,3.83,0,72.42,0,0,0,0,0
 84-94,0,151.2,0,5.88,0,25.76,0,0,4.08,43.67,0,0,0,1.26,0,2.54,0,0,172.55,0.73,0,0,0,0
 96-106,0,130.21,0,16.18,0,19.94,6.68,0,2.55,27.1,6.15,0.7,12.65,1.43,0,5.02,0,0.59,137.08,1.33,0,0,0,0
108-118,2.28,151.09,0,2.69,0,36.17,1.27,3.71,4.06,77.25,4.01,0,0,1.12,0.71,13.66,0,1.83,137.05,0,0,0,0,5.34
120,0,158.97,0,0,0,19.02,0,1.79,2.36,37.03,0,0,0,2.34,0,0,0,0,127.92,0,0,2.41,1.36,0
