stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,25.27,889.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.65,464.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,7.22,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.69,24.66,0,0,0,0,0,0,0,0,0,0,3.45,0,0,0,0,0,0,0,0,0,0,0,136.54,8.59,0,0,27.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,23.97,0,0,0,0,16.28,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,286.25,8.83,0,0,71.83,0,4.33,0,0,5.27,0,0,0,0,0,0,0,0
 14-21,0,0,2.32,21.63,4.64,0,4.95,0,0,0,5.56,0,0,0.85,0,0,0,0,20.43,0,11.58,0,0,4.02,72.7,3.95,0,0,1,0,33.48,0,8.9,3.86,0,11.13,48.79,0,0,2.43,0,0
 24-34,0,0,0.62,16.18,0,0,9.6,0,13.03,0,3.56,2.3,2.59,5.08,0,1.66,0,1.63,2.16,0,9.31,0,1.21,14.09,74.9,5.1,0.69,3.05,0,0,78.09,0,0,2.84,1.66,2.57,30.03,0,0,21.75,0,0
 36-46,0,0,0.96,14.25,0,0,13.97,5.8,27.23,0,15.54,0.72,0,2.88,0,1.63,2.43,1.56,0,2.34,9.75,0,0.57,8.18,71.38,0.65,0,0.85,0,0,155.38,0,0,15.76,0,0,35.92,0,1.04,19.36,0,7.4
 48-58,0,0,0,27.82,0,0,6.65,1.11,12.95,0.54,26.61,0.64,0,3.17,0,0,0,1.67,5.11,2.41,28.06,2.95,1.18,4.93,49.61,2.42,0.47,9.89,0,0,127.29,0,0,0,0.44,0,30.12,0,1.28,7.04,0,2.25
 60-70,0,0,0,33.54,0,0,11.64,2.36,18.24,1.47,12.57,0,0,1.7,1.18,0,1.71,1.48,0,14.83,31.56,5.03,2,4.31,43.92,1.21,0,2.62,0,0,122.35,0,0,3.99,0,0,14.94,0.84,0,13.58,0,19.64
 72-82,0,0,0,8.7,0,0,26.01,3.27,18.84,1.45,29.5,1.27,0,0.68,0,3.34,4.35,5.32,0,0.64,51.8,0,4.49,4.35,39.48,7.88,0,3.48,0,0,88.58,1.65,0,0.84,5.77,0,9.9,0,1.65,37.29,2.27,1.16
 84-94,0,0,0,20.03,3.71,0,33.3,7.86,28.15,1.42,9.5,3.91,0.64,0,0,1.13,3.98,1.57,0.74,7.45,41.14,7.01,1.78,6.51,25.06,1.19,1.46,6.01,0,5.06,232.64,0,0,3.88,0,0,3.18,0.85,0.74,14.73,1.99,0
 96-106,0,0,0,27.31,0,1,23.44,10.13,23.57,4.52,22.2,1.85,0,0.76,1.68,1.82,9.13,5.23,0.6,0,64.39,1.44,2.49,8.65,33.05,0,0.57,6.58,0,1.3,215.64,0,0,0.7,1.98,0,7.23,0.61,2.82,37.61,1.58,0
108-118,0,0,0,45.67,0,6.2,25.25,5.93,37.19,2.75,15.38,5.09,0,1.71,0.52,5.39,25.18,0.84,1.54,9.51,41.9,6.51,5.37,1.76,10.57,3.09,2.38,4.02,0,0,236.17,0,0,2.03,1.81,0,3.96,0,3.56,23.51,1.13,2.31
120,0,0,0,31.68,0,0,15.43,27.65,40.88,0,13.99,9.1,0,5.19,0,0,15.92,5.46,17.98,11.42,63.19,2.51,0,9.51,13.59,5.58,0,14.73,0,0,142.15,0,0,2.89,2.54,0,13.28,7.14,2.41,50.92,5.56,0
