stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,38.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.43,0,0,0,0,0,0,0,0
  5-6,12.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.92,0.94,0.99,0,0,0,0.88,0,0,0,0,0,0,0,2.08,0,13.02,12.15,18.82,1.44,0,0,0,0,16.44,389.17,166.48,3.7,0,0,0,0
 24-34,0,0,0,1.17,0,0,0,0,0,1,0,6.24,0,0,0,0,0,9.87,0,0,24.86,16.38,0,0,0,0,2.28,0,1.93,9.66,10.76,0,0,0,0
 36-46,0,0.98,0,8.67,0,0.99,0,0,0,0,0,34.59,0,0,0,0,0,35.68,2.53,0.76,120.04,1.71,3.35,0.76,0,8.24,0,0,0,0,13.27,0,0,0,0
 48-58,0,0,0,3.34,0,24.56,0,0,0,2.01,0,5.56,0,0,0,0,0,81.82,5.14,3.01,132.93,0.5,4.74,2.03,0,0.97,0.43,0,0,0,19.48,4.87,0,0,0.46
 60-70,0,0,0,8.79,0.65,63.57,0,0,0,1.59,0,7.54,0,0,0,0,0,181.27,12.75,7.05,266.38,0,0,9.3,0,4.33,0,0,0,0,15.41,3.83,2.2,0.85,0
 72-82,0,1.82,0,1.81,0,44.14,0,0,0,2.24,0,13.34,0.53,0,0,0,0,452.56,61.75,23.49,81.88,0,2.31,41.22,0,4.17,1.62,0,0,0,0,42.41,0,6.39,8.92
 84-94,0,1.29,0,3.78,0,58.43,6.39,0,0,7.77,0.57,0,0.7,0.75,0,21.94,0,377.85,33.95,3.43,66.11,0,0.64,67.16,0,0,0,0,0.83,0,0,15.31,0,11.17,0
 96-106,0,5.73,1.03,23.2,4.51,46.7,6.29,1.4,6.2,4.24,2.85,8.02,0,0,0.95,0,0,421.67,18.71,20.8,47.96,0,2,72.77,0,2.65,2.89,0,0,0,0,25.03,5.38,3.38,1.36
108-118,0,1.11,0,16.26,6.76,80.59,4.83,0.46,0,3.91,2.03,6.8,0,0,0,0,0,412.67,48.05,33.91,86.34,0,1.57,71.9,0,12.12,0,0,0,0,0,23.69,0,0,0
120,0,0,0,23.78,0,70.85,3.62,0,0,0,0,14.41,0,0,0,6.54,1.79,219.78,41.2,18.03,87.05,0,1.61,34.95,0,0,0,0,0,0,8.06,23.81,0,6.89,0
