stage,epidermis,eye,fin_mesenchyme,glial,heart,immune,mesenchyme,muscle,neural,notochord,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,4.38,0,0,0
 10-12,0,0,0,0,0,0,0,0,10.22,0,0,0
 36-46,0,0,0,0,0,0,0.67,0.63,0,0,0,0
 48-58,0,0,0,0,0,0,7.6,0,1,0,0,0
 60-70,0,0,1.14,0,0,0,1.01,0,0,0,0,0
 72-82,0,0,0,3.2,1.28,0,8.85,1.15,3.81,0.73,4.6,1.18
 84-94,0.79,0.72,0,2.73,0,1.2,5.75,0,0,0,15.02,0
 96-106,0,0,0,3.01,1.86,2.44,7.23,0,3.75,0,6.84,0
108-118,1.14,0,0,11.87,2.48,1.29,5.23,0.85,1.59,0,5.83,0
120,0,0,0,0,0,0,4.64,0,1.31,4.72,11.93,0
