stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,28.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.44,0,4.42,0,0,0,50.57,0,0,0,0,0,17.03,0,0,0,0,0,0,0,0,0,0,0,61.94,0,0,0,12.78,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,38.99,0,0,0,0,0,13.45,0,0,0,0,0,0,0,0,0,0,0,58.91,0,0,0,17.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.11,0,8.95,0,0,0,0,0,0,6.49,2,0,4.35,0,0,0,0,0,0,0,0,0,0.94,25.24,0,0,0,0,0,0.85,0,0,73.63,0,0,0,0,0
 24-34,0,0,0,4.22,0,0,3.53,0,0,0,32.15,1.12,0,0,0,0,0,0,0.9,0,4.39,0,0,2.16,464.07,1.11,0.63,0,0,8.49,0,1.12,0,398.3,0,0,4.97,0,1.98
 36-46,0,0,0,0,0.7,0,2.96,0.7,0,0,20.44,0,0,0,2.6,0,0,0,0,4.5,2.76,0,0,1.07,932.11,0,2.87,0.61,0,0.66,0,12.92,0,456.73,0,0,0,0,0
 48-58,0,0.65,0,2.5,0,0,61.83,0,0,0,35.88,0,0,0,0,0,0,0.73,0,1.69,6.88,0,0,0.41,1100.55,0.67,2.63,0.41,0,3.59,0,2.4,0,349.42,0,0,0.55,0,7.86
 60-70,0,0,0,10.05,0,0,294.25,0,0,0,27.81,0,0,0,0,0,0.67,0.74,0,0,14.57,0,6.48,0,2075.9,0,3.17,0,0,4.34,0,3.16,1.33,302.95,0,0,4.63,0,0
 72-82,0,0,0,7.24,5.02,0,480.73,0,0,0,48.42,0.97,0,0,1.18,2.93,0.62,0,0,3.53,41.33,0,0,2.42,2348.17,0,0,0.61,0,9.78,0,0,0,212.23,1.21,1.69,0,0.76,1.33
 84-94,0,1.86,0,10,1.74,1.48,397.99,0,0,0,38.2,0,0,0,0.68,3.83,0,0,0,4.57,29.39,0,4.57,0.75,2136,0,0,0,0,4.1,0,3.22,0,157.35,0,0,0.84,0,0
 96-106,0,5.77,0,18.36,8.14,0,372.05,0,0,0,40.49,1.09,0,0,0.66,0.82,0.95,0,0,1.26,36.04,0,0,6.21,1923.31,0,0,0.63,0,6.61,0,3.41,0,80.21,0,0,12.37,0,0
108-118,0,0.95,0,12.17,0,0,367.67,0,0.95,0.73,46.81,1.83,0,0,5.8,0,3.86,1.02,0,0.51,27.34,5.93,0,3.76,2266.54,2.55,0,0,0,3.53,0,1.88,0,66.16,0,0,2.77,0,0.52
120,0,3.64,0,24.7,9.8,0,328.14,0,2.5,19.12,73.3,1.02,0,0,11.51,0,0,0,0,0,42.07,0,0,5.55,2830.94,10.11,0,2.84,0,2.17,0,13.28,0,31.52,0,0,0,0,0
