stage,axial,endoderm,epidermis,erythrocytes,eye,glial,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
 14-21,0,2.62,3.37,0.91,281.32,1.33,0,12.26,0,0,330.1,37.85,0,0,424.93,3.17,0,1.18,0,2.2,0,3.26,4.18,329.22,0,67.64
 24-34,0,0,1.76,0,95.29,2.87,0.83,23.11,0,0,223.03,28.87,0,3.18,185.84,0,0,0,0.91,1.1,0.64,1.25,1.5,56.47,7.45,153.3
 36-46,1.07,0,0,0,3.02,0.99,0,20.51,0,0,66.3,5.04,0,0,48.26,0,0,0,0,0,0,0,0,6.11,0,23.72
 48-58,0,0,0,0,5.09,0.69,0,16.84,0,0,25.59,0.38,0,0.53,25.64,0,0,0,0,0,0,0,0,1.54,0,20.03
 60-70,0,0,0,0,3.14,2.51,0,17.96,1.13,0,6.33,3.3,0.62,0,50.36,0,0,0,0,0,0,0,0,14.59,0,0
 72-82,0,0,0,0,2.85,0,0,3.38,0,0,6.11,7.16,0,2.41,18.1,0,2.69,0,0,0,0,0,0,2.17,0,1.15
 84-94,0,0,0.87,0,5.01,2.13,0,3.09,0,0,9.18,7.32,0,0,5.55,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,11.84,2.71,0,5.58,0,0.7,1.35,0,0,0,4.88,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,1.28,0,4.14,0,0,5.69,1.54,0,0,2.66,0,0,0,0.78,0,0.96,0,0,0,0,0
120,0,0,0,0,0,0,0,1.11,0,0,0,0,0,0,6.88,0,0,0,0,0,0,0,0,0,0,3.85
