stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.98,198.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.74,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,75.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.25,0,0,0,0,0,0,0,0,0,0,0
  7-9,14.06,0,37.41,0,0,0,0,0,0,0,0,7.53,0,0,0,0,0,0,0,0,0,0,76.21,0,0,0,8.88,0,0,5.42,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,4.92,0,0,0,0,0,0,0,0,0,0,100.28,7.35,0,0,39.79,0,0,5.47,4.75,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,76.4,3.91,0,13.38,0,0,1.67,1.79,0,0,24.63,0,0,0,1.05,40.37,0,0,14.8,1073.06,0,0,2.63,0.84,0,0,0,143.2,0,0.87,41.42,172.52,0,0,0.99,0,0
 24-34,0,0,0,44.29,0,0,46.96,3.77,0,0.91,0,4.01,7.19,82.09,1.55,0,0,0,97.92,0.7,0.91,20.15,569.92,6.93,3.12,9.3,0,0,11.96,0,0,0,0,6.71,156.86,0,0,22.08,0,0
 36-46,0,0,0,22.28,0.67,0,164.59,4.77,2.89,3.26,0,0.7,2.45,167.64,0,3.32,0,0.99,159.45,0,1.73,34.61,279.06,1.95,0,5.43,0,0,1.64,2.17,0,0,0,0,47.88,0,0,0.69,0,0
 48-58,0,0,0,35.39,0,0,229.27,6.65,2,15.86,0,51.24,4.14,172.55,7.39,1.45,0,1.59,154.93,0.92,4.07,29.36,128.7,3.13,0,0,0,0,1.07,0,0,0,0,0,8.03,0,0.61,0.6,0,0
 60-70,0,0,0,31.17,0,0,118.78,7.39,1.73,9.5,0,20.66,0,164.21,0,0,0,0,142.59,4.81,0,14.98,96.92,0,0,3.73,0,0,0.61,0,0,0,0,0,11.32,0,2.72,0,0,0
 72-82,0,0,0,20.54,0,0,48.11,6.27,1.59,39.29,0,18.06,2.18,300.22,8.87,1.05,0.62,0,183.73,4.95,0,28.16,45.99,0,1.41,7.93,0,0,1.92,0.56,0,0,0,0,12.34,0,1.51,4.62,0,0
 84-94,0,0,0,69.82,0.59,0,39.86,15.86,8,20.78,1.31,19.7,0.79,413.48,0.68,0,1.62,0,156.66,5.92,5.38,28.25,46.36,0,1.88,0.97,0,2.57,10.47,0,0,0,0,0,4.48,4.35,10.75,3.11,0.68,0
 96-106,0,0,0,92.19,5.45,0,46.46,11.57,2.79,88.61,5.05,1.06,21.04,472.87,0.95,5.63,2.85,0,194.79,11.39,7.11,28.28,38.45,0,4.4,4.42,0,8.82,7.98,0,0,0.87,0,0,3.12,2.23,6.56,10.73,2.33,2.76
108-118,0,0,0,88.5,0.88,0.78,34.3,11.72,1.97,76.41,4.31,0,1.66,614.21,5.3,0,1.28,1.44,219.36,12.83,5.25,19.23,73.95,2.28,7.81,0,0,12.98,11.55,0,0,0,0,0,8.34,2.6,11.19,4.69,0.48,0
120,0,0,0,85.65,2.59,0,9.09,8.87,10.43,60.44,6.7,0,1.85,374.61,1.17,2.12,0,0,205.27,1.49,0,15.88,51.58,0,1.46,0,0,21.96,26.06,0,0,0,0,0,1.98,0,0,2.39,0,0
