stage,axial,blastomeres,endoderm,eye,hatching_gland,neural,paraxial_mesoderm,pronephros,spinal_cord
  3-4,0,21.8,0,0,0,0,0,0,0
  5-6,6.89,82.78,0,0,0,0,0,0,0
  7-9,0,4.83,0,20,4.16,95.24,11.51,0,0
 10-12,0,0,15.43,0,10.64,77.51,50.08,18.81,0
 36-46,0,0,0,1.06,0,0,0,0,0
 48-58,0,0,0,0,0,0.58,0,0,1.96
 72-82,0,0,0,0.64,0,1.44,0,0,0
