stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.25,0,0,0,8.65,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.9,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,14.42,0,0,0,5.55,0,0,0,0,0,5.87,0,0,0,0,0,0,0,0,0,0,0,267.57,25.84,0,0,17.85,0,0,0,4.44,0,0,0,0,0,0,0,0
 14-21,0,3.5,3.13,115.51,3.22,0,315.48,0,0,0,0,1.05,1.08,1.15,0,0,0,0,1.76,0,69.29,0,0,15.17,393.61,8.5,0,298.95,3.1,0,0,3.54,0,0,2.09,9.61,0,0,1.08,0,0
 24-34,0,3.58,1.68,66.45,0,0,552.1,0,2.75,0.67,0,4.59,0,5.99,0,0,8.49,0,4.24,0,191.64,0,2.1,36.83,662.11,2.7,0,333.58,0,2.91,2.15,0,14.09,0,0,46.23,0,0,1.8,0,0
 36-46,0,0.61,0,18.41,2.92,0,937.68,0,0,0,6.22,9.07,0,2.17,0,0,18.85,1.14,2.21,0,321.83,0,9.53,48.18,448.64,0.56,0,196.38,0,4.07,13.14,3.59,12.04,0.64,0,243.47,0,0,1.99,0,18.85
 48-58,0,2,0,40.59,0.64,0,825.58,1.17,9.09,10.92,12.16,0,0,4.25,0,0,22.16,0,9.38,0,352.03,0,11.85,64.2,402.56,0.63,0,148.89,0,2.47,4.26,0,4.93,0,0,185.53,0,1.01,8.19,2.03,22.27
 60-70,0,2.28,0,15.65,0,0,746.83,5.14,0,6.69,44.56,0.58,0,0,0,0,33.93,0,16.95,0,419.39,3.37,8.19,58.96,262.87,0,0,106.52,0,12.22,0,0,15.19,1.68,0,99.75,2.45,12.89,14.9,3.97,21.02
 72-82,0,0.93,0,20.38,4.35,0,419.35,2.61,2.77,24.49,62.23,3.95,0,2.65,0.8,0.83,57.81,2.29,23.02,0,680.61,0,32.15,40.59,204.47,0,0.64,122.31,0,35.21,0,0,2.24,0.86,0,46.04,15.09,23.76,23.17,28.8,13.53
 84-94,0,1.55,1.04,19.24,0,0,359.07,8.49,2.22,13.04,51.85,8.31,0,3.1,0.57,0,58.36,0,45.43,0.83,546.47,0,36.89,31.94,238.53,1.12,0,175.13,0,29.53,2.09,0,29.94,0.57,0,40.01,42.62,15.53,15.68,35.45,1.27
 96-106,0,1.23,0,29.92,1.02,0.91,316.48,5.5,1.69,17.89,105.63,6.24,0,3.87,5.48,0,47.16,2.29,60.65,0,646.57,2.06,17.9,33.25,217.63,0,0.57,202.35,0,76.88,11.36,0,17.32,0,0,16.03,31.91,36.83,23.87,33.53,5.3
108-118,0,2.19,1.58,20.6,5.29,0,290.45,4.46,5.63,16.79,52.7,5.3,0,0,0.56,2.14,125.36,1.93,76.32,7.52,662.74,0.54,19.22,36.26,325.35,0.44,3.07,148.96,0,82.63,2.89,0,19.59,0,0,18.39,26.47,16.07,28.94,43.33,13.27
120,0,2.94,0,23.44,5.94,16.09,312.38,7.8,22.19,8.43,90.22,6.18,0,0,0,0,97.74,0,93.3,0,628.58,0,72.86,32.16,362.75,0,0,128.72,0,50.08,1.09,0,0,0,0,17.36,29.3,3.12,72.54,8.51,0
