stage,blastomeres,epidermis,eye,mesenchyme,neural,paraxial.mesoderm,spinal.cord,vasculature
  3-4,22.09,0,0,0,0,0,0,0
  5-6,66,0,0,0,0,0,0,0
  7-9,0,0,10.27,0,23.09,22.4,0,0
 10-12,5.09,0,0,0,30.33,6.37,0,0
 14-21,0,0,0,0,2.78,0,0.88,0
 24-34,0,0,0,0,1.06,0,0.88,0
 36-46,0,0,1.43,0,0.71,0,1.86,0
 48-58,0,0,0.61,0,0,0,0,0
 60-70,0,0,0,0,0.76,0,0,0
 72-82,0,0.5,0,0.87,0,0,0,0
 84-94,0,0,0,0,0,0,0,1.29
 96-106,0,0,0.89,0,0.87,0,0,0
108-118,0,0,0,1.77,0,0,0,0
120,0,0,0,0,7.78,0,0,0
