stage,eye,glial,mesenchyme,neural,paraxial.mesoderm,spinal.cord,vasculature
  7-9,0,0,0,5.31,3.61,0,0
 14-21,0,0,0,0,0,2.16,0
 24-34,0.7,0,0.7,1.83,0,0.91,0
 36-46,0,0,0,5.64,0,0,0.99
 48-58,0.94,0,0,1.74,0,0.88,0
 60-70,6.96,2.8,0,15.59,0,1.95,0
 72-82,5.11,0,0,10.87,0,0,0
 84-94,0.59,0.57,0,8.89,0,0,0
108-118,0,0,0,1.42,0,0,0
120,0,0,0,16.78,0,0,0
