stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,615.13,10772.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,823.58,0,0,0,0,0,0,0,0,0,0
  5-6,303.77,4716.47,0,0,0,0,0,0,0,0,0,0,16.53,0,0,0,0,0,0,0,0,0,0,0,74.82,0,0,0,21.02,0,470.96,0,0,0,0,0,0,0,0,0,0
  7-9,21.71,12.5,0,20.03,0,0,0,0,0,0,0,0,26.69,0,0,0,0,0,0,0,0,0,0,0,175.03,3.24,0,0,37.3,0,0,10.61,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,11.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.65,0,0,0,10.47,0,0,0,0,0,5.26,0,0,0,0,0,0
 14-21,0,0,0,0,1.63,83.64,0,1.81,0,0,2.31,0,0,4.31,2.2,0,0,0,0,1.07,3.52,0,0,3.11,34.63,0.81,0,0,0,0,8.23,0,0,0,0.86,11.7,0,0,4.29,0,0.98
 24-34,0,0,0,0.64,3.29,5.97,0,2.28,0,0,7.97,0,0,22.48,1.28,0,11.61,0.82,0,11.34,19.65,0,0,15.05,8.54,4.47,0,0,0,0,0,0,0.97,0,0,18.39,0,0,43.75,0,0
 36-46,0,0,0,0,0.66,2.92,0,4.87,0,0,0,0,0,10.18,13.46,0.93,0,7.79,0,0,19.97,0,3.32,1.62,4.53,5.39,0,0,0,2.87,0,0,0,0,0,40.91,0,0,3.68,0,2.35
 48-58,1.15,0,0,0,0,0,0,13.86,0,0,5.71,0,0,4.52,4.14,0,0,2.11,0,0,14.64,0,14.56,2.59,19.37,10.48,0,0.59,0,1.69,0.42,0,0,0,0,34.08,0,0,4.23,0,7.41
 60-70,0,0,0,0,0,0,0,39.36,0,0,11.82,5.58,0,3.86,17,0,0,4.13,1.72,0,17.33,0,3.59,0,37.95,7.68,0,0,0,3.89,6.08,0,0,0,0,3.17,0,3.26,10.37,10.9,0
 72-82,0,0,0.87,0,11.84,0,0,367.18,0,1.8,14.92,29.26,0,1.4,25.24,0,1.24,10.5,0,1.18,30.49,0,0.55,1.3,49.58,3.44,0,0.49,0,0.88,4.44,0,0,0,0,11.76,21.75,8.46,16.45,12.79,10.82
 84-94,0,0,0,0,3.05,0,6.31,350.71,0,1.65,5.89,24.72,0,0,37.63,0,0,3.36,0,0,6.4,0,8.08,3.26,24.43,2.9,0,0,0,0,17.55,0,0,0,0,26.03,43.07,8.35,27.93,5.9,3.43
 96-106,0,0,0,0,19.31,0,4.74,471.1,0,0,18.14,57.06,0,2.18,41.2,1.68,0,7.72,7.54,0,12.88,1.15,4.47,0.66,75.47,0,0,6.47,0,2.62,9.73,0,0.62,1.79,0,20.36,83.02,1.93,18.31,1.89,1.33
108-118,0,0,0,0,26.95,2.36,109.32,462.54,1.41,0,8.72,30.05,0,0,49.54,1.14,0,0,6.11,0,25.82,0,7.89,0.44,64.77,1.09,0,0,0,2.72,1.88,0,0,0,0,7.63,63.54,0.53,20.43,10.85,2.84
120,0,0,0,0,19.42,4.24,38.81,547.98,1.12,0,4.48,51.76,0,0,22.49,4.13,0,3.67,0,0,33.54,0,19.96,0,148.68,0,1.74,0,0,0,26.47,0,0,0,0,0,36.92,0,1.26,0,4.45
