stage,erythrocytes,eye,fast_muscle,glial,immune,lateral_line,mesenchyme,neural,olfactory,otic,pronephros,spinal_cord
 10-12,0,0,0,0,0,0,0,16.14,0,0,0,0
 14-21,0.92,0,0,0,0,0,1.22,0,0,0,0,0
 36-46,0,0,0,0,0,0,0.82,0,0,0,1.34,0
 48-58,0,0,0,0,0,0,0,0.42,0,0,0,0
 72-82,0,0,1.89,1.18,0,0,1.59,0,0,0.54,0,0.97
 84-94,0,0,0,0,0,0.83,0,0,1.27,0,2.15,0
 96-106,0,0.79,0,7.6,0,0.65,4.26,0,4.16,0,0,0.72
108-118,0,0,0,6.22,1.79,0.6,0,0.68,0,0,0,0
120,0,0,0,0,1.69,0,2.35,0,0,0,0,0
