stage,eye,glial,gut,neural,spinal.cord,taste
 24-34,0,0,0,0,1.51,0
 60-70,0,0,0,4.48,0,0
 72-82,1.12,0,0,4.9,0,0
 84-94,0,0,0,56.44,0,0
 96-106,2.45,0,0.77,22.1,0,0
108-118,0,4.93,0.52,3.75,0,0.43
120,0,0,0,1.45,0,0
