stage,blastomeres,endoderm,erythrocytes,eye,fast_muscle,glial,gut,hatching_gland,heart,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.74,0,0,0,0,0
  5-6,27.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.82,0,0,0,0,0
  7-9,0,5.25,0,0,0,0,0,0,0,0,0,0,0,0,0,40.39,0,0,9.61,3.78,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.88,0,0,0,0,0,0,0,37.85,17.32,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.15,0,0,0,0.81,0,0,0,0,0,0,0,0,4.54,4.51,0,0
 24-34,0,0,0,0,0,0,0,0,4.42,0,0,0,0.73,0,7.65,5.3,0,0,0,0,0,8.21,3.16,1.9,0
 36-46,0,0,0,0,11.83,0,0,0,0,0,0,0,0,0,0,9.76,0,0,0,0.74,0,3.15,1.74,0,0
 48-58,0,0,0,3.73,6.48,0,0,0,0.38,0,0,0,0,0,0,3.98,0,0,0,0,0,0.46,0,1.3,0
 60-70,0,0,0,0.89,5.24,0,0.64,0,0,0,0,0,2.68,0,0,0,0,0,0,0.67,0,0.67,0,0,0
 72-82,0,0,0,0,1.57,4.93,0,0,0,0,0,0,0.99,0,0,1.88,0,0,0,0,0,0,0,0,2.66
 84-94,0,0,0,0,0.66,0,0,0,0.8,0,0,0,0,0,0,6.63,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,9.46,4.03,0,0,0,0.85,0,1.15,10.96,5.09,0,0,0,0,0.96,0,0,1.91,0,0,0,1.15
108-118,0,0,7.51,0,1.45,0,0,0,0,0,0.64,0,1,6.69,0.42,5.61,0,0,0,0,0,1.48,0,0,0
120,0,0,0,0,1.99,0,0,0,0,2.26,4.94,0,0,0,2.15,5.32,9.01,1.76,0,0,0,1.03,0,0,0
