stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,10.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.9,98.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.43,17.57,0,13.26,0,0,28.79,0,0,0,0,0,11.32,0,0,0,0,0,0,0,0,0,0,183.84,0,0,0,67.02,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,29.51,0,0,6.36,0,0,0,0,0,4.6,0,0,0,0,0,0,0,0,0,0,161.4,0,0,0,53.76,0,3.47,6.41,0,8.18,0,0,0,0,0,0,0,0
 14-21,0,0,0,5.5,64.91,7.11,1.72,0,0,0,0.82,0,0,1.92,0,0,0,0,0,13.5,0,0,11.75,22.32,6.53,0,3.71,0.87,0,102.61,0,6.19,0,0,5.45,8.5,0,0,2.89,0,0
 24-34,0,0,0,2.41,110.31,1.9,35.98,0,6.88,0.74,1.25,0,0,0.67,0.6,1.54,0.78,0,0,36.41,1.93,0,14.79,66.9,27.6,2.35,7.34,0,0,544.29,0,0,6.43,0,1.54,13.71,0,0,34.46,0,0
 36-46,0,0,0,0,263.89,0,64.55,1.18,56.06,0,0.67,0,0,0,0,0.6,0.71,1.49,0,26.87,21.19,0.6,10.98,139.5,31.39,0.6,3.31,0,0,831.71,0.65,0,5.85,1.32,0,9.01,0,0,31.53,0,1.45
 48-58,0,0,0,0,219.76,0,49.52,0.44,59.89,2.01,4.82,0,1.31,1.31,0,0.4,0.94,0,6.25,33.48,5.22,0,10.87,112.44,47.74,0.44,7.42,0,0,483.89,0,0,1.92,0,0,4.65,0,0,15.4,0,0
 60-70,0,0,0,0,368.88,13.75,112.48,0,90.79,2.07,3.69,0,4.08,8.5,0,8.73,3.21,0,0,63.42,27.63,2.23,18.36,92.9,39.12,0,1.34,0,0,573.34,0,0,6.41,1.5,0,0.64,0,1.31,16.35,0,0
 72-82,0,0,0,0,247.91,0,217.32,0,66.66,2.57,6.98,0,1.94,3,0.83,2.56,13.06,3.49,6.45,94.21,26.58,0,11.65,182.43,9.43,1.47,2.21,0,1.4,322.99,0,0,0,0,0,3.13,0,0,38.82,0,0
 84-94,0,0,1.44,0,459.49,0.64,203.23,0,102.55,4.38,8.16,0,4.77,1,2.35,16.39,14.71,0,0,110.16,29.99,0,6.91,109.79,15.19,10.22,1.98,0,0,1075.66,0,0,0.59,0,0,4.35,0.9,1.03,33.26,1.01,0
 96-106,1.12,0,0,0,383.4,7.56,349.31,0,67.97,4.04,38.7,6.21,0,4.77,2.32,5.36,27.16,32.86,0,101.19,48.98,0,0,101.99,16.8,10.69,5.99,0,0.79,822.19,0,0,0.65,0,0,4.01,2.24,0,108.5,0,0
108-118,0,0,0,0,504.46,1.32,464.67,0,118.89,7.49,27.22,3.29,0,0,3.67,10.54,31.94,9.27,0,160.26,39.21,0,2.8,128.31,21.73,5.99,4.85,0,0,748.34,0,0,0.62,1.29,0,0,7.47,1.94,27.31,1.05,0
120,0,0,0,0,459.65,1.38,616.39,0,121.56,4.45,89.76,2.9,0,12.53,1.19,3.41,29.35,0,0,168.26,31.56,0,4.65,213.9,51.4,41.18,13.54,0,0,557.72,0,0,0,0,0,0,1.53,0,46.32,0,0
