stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.35,808.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.59,0,0,0,0,0,0,0,0,0
  5-6,0,142.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.55,0,0,0,0,187.84,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,14.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.47,0,0,0,22.78,6.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,10.22,0,0,0,10.15,0,0,0,0,0,15.51,0,0,0,0,0,0,0,0,0,53.63,0,0,0,0,9.68,0,0,0,0,0,0,0,0,0
 14-21,0,0,5.71,1.64,22.99,1.15,0,0,0,3.59,0,5.1,3.4,1.96,0,0,11.11,0,0,0,0,0,1.97,9,0,1.04,1.76,0,37.65,2.28,5.33,1.23,9.07,4.77,0,0,0,0
 24-34,0,0,2.63,0,6.62,0,0,7.59,0,15.2,0,1.55,2.19,3.09,0,0.6,12.29,8.98,0.66,1.89,2.15,0,0.79,44.17,0,23.18,3.6,0,86.99,0,16.33,0,1.18,14.18,0,1.49,0,1.98
 36-46,0,0,0,0.56,0,0,0,11.62,0,2.65,0,1.59,2.88,5.1,0,0,3.46,4.88,1.59,1.11,1.27,0,1.91,61.44,0,31.04,3.72,0,111.17,0,9.8,0,0,8.04,0,0,0,0
 48-58,0,0,0,0,13,0.45,0,37.34,0,7,0,0.89,0.94,5.18,0,0.92,4.14,11.97,0.37,0,2.22,0,2.14,55.54,0,6.2,6.59,0,94.62,0,5.94,0,0,8.09,0,0,0,0
 60-70,0,0,19.79,0,21.14,0.93,0,101.25,0,14.82,0,4.62,11.8,11.75,0,2.42,7.36,15.12,6.51,0,3.39,0,0,47.34,0,13.59,11.24,0,115.03,0,7.9,0,0,1.25,3.65,3.75,0,0
 72-82,0,0,33.34,1.72,5.42,21.61,0,68.4,0,0.55,5,5.86,27,2.83,0,1.11,4.54,23.18,0.6,2.64,4.93,0,0,46.32,0,8.71,10.64,0,97.97,0,5.8,0,0,3.8,6.36,0.63,0,0
 84-94,0,0,22.34,5.16,21.49,37.76,0,71.94,0,6.35,0,2.35,47.78,6.08,0.8,8.48,14.83,16.77,6.56,15.8,8.67,1.17,0,59.58,0,8.84,9.71,0,265.93,0,8.1,0,0,5.47,9.14,1.24,0,0
 96-106,0,0,42.18,6.11,45.46,22.51,0.66,68.72,0,5.88,1.4,7.94,84.25,1.06,0,9.52,15.29,39.09,18.47,1.23,21.83,0,0,60.37,0,15.11,15.41,0,232.08,0,7.5,0,0,3.13,33.84,0.57,0,0.8
108-118,0,0,24.75,12.6,27.09,15.48,2.86,41.03,0.46,10.35,0.77,9.66,130.11,0,0,17.9,18.13,14.33,13.98,10.43,8.55,0,0,69.57,0.43,11.54,10.96,0,198.06,0,7.79,0,0,2.15,24.45,0,1.28,0.59
120,0,0,23.68,0,42.09,5.81,0,30.36,0,15.34,0,2.49,132.88,0,0,15.76,10.33,23.99,6.98,5.72,17.2,0,0,85.43,0,7.27,17.38,0,130.47,0,13.02,0,0,0,11.31,0,0,0
