stage,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,pericytes,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,0,0.91,0,0,0,0,0,0,0,0,0,1.59,0,0,0,0.86,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,1.04,0,0,1.41,0,0,1.57,0,1.56,0,0,0
 36-46,0,0,0,0.61,0,0,0,0,4.51,0,2.78,1.79,0,0,0,0,1.56,1.04,0,0
 48-58,2.51,0.47,0,0.41,0.82,0,1.62,1.07,3.54,0.44,2.83,15.28,0,0,0,0,0,0,0.45,0
 60-70,0,0,0,0,2.61,0,0,0,7.97,0,0,0.68,0,1.92,0,0,0,0,0,0
 72-82,0,0.67,0,0,6.36,0.67,0,0,12.97,0,0,1.05,0,3.72,2.46,0,0,0,2.15,0
 84-94,0.59,0.59,0,0,0,0,0,0,14.38,2.67,0,0,1.33,4.92,3.55,0,0,0,0,0
 96-106,0,0.56,0.58,0,9.21,2.27,0,0,20.35,0,2.1,4.41,0,2.88,13.13,0,0,0,0,0
108-118,0,0,0,0,1.58,0,0,2.16,9.76,0,0,0,0,0,0.6,0,0,0,0.46,1.48
120,0,15.15,0,0,7.21,0,0,7.13,5.16,0,1.25,0,0,2.03,2.12,0,0,0,0,0
