stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,periderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,16.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.78,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.94,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.94,0.59,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,11.88,0,0,0,0.6,0,0,0.77,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,85.96,0,0,0,2.6,1.41,0,0,0,15.51,0
 60-70,0,0,0,0,0,0,0,0,1.27,0,0,0,178.93,0,0,0,17.82,0,0,0,4.29,4.67,0
 72-82,0,0,5.62,0,27.32,0,0,0.78,0,2.8,0,0,539.56,0,0,0,7.48,0,0,0,37.16,8.31,0
 84-94,0,0,0,0,16.09,0,0,0,0,0,0,6.93,606.24,0,0,0,3.14,0,0,0,27.58,2.19,0
 96-106,0,0,8.43,0,15.78,3.01,0,8.37,0,0,0,0,484.67,0,0,0,21.68,0.62,0,0,97.64,18.99,0
108-118,0,1.04,1.14,1.39,17.04,2.9,3.49,2.75,0,0,1.31,0,437.44,0,14.17,0.73,9.65,6.07,0,0,215.37,1.94,1.62
120,0,0,4.91,0,14.12,0,0,0,0,0,0,0,622.41,1.56,61.52,1.9,30.18,3.96,0,0,76.59,0,0
