stage,eye,glial,neural,pronephros,spinal.cord
 36-46,0,0,0.96,0,0
 60-70,0,0,0,0.58,0.88
 72-82,6.29,0,3.24,0,0
 84-94,0,0,2.94,0,0
 96-106,0,1.17,1.24,0,0
108-118,0,0,0,0,4.42
120,6.94,0,0,0,0
