stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,hatching.gland,immune,ionocyte,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,25.56,243.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.81,292.62,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,8.98,0,0,0,0,0,0,0,0
  7-9,0,0,0,8.15,0,0,28.51,0,0,10.94,0,0,0,0,0,128.19,0,0,85.6,0,5.5,0,0,0,0,0,0,0
 10-12,0,13.03,0,0,0,0,24.93,0,0,0,0,0,0,0,0,96.98,5.46,0,40.34,0,0,0,13.05,0,0,0,0,0
 14-21,0,0,0,1.72,2.8,2.19,0,0,0,0,0,0,0.96,0,0.82,43.53,0,0,0,0,0,3.78,0,4.12,11.36,0,0,0
 24-34,0,0,1.26,0,2.54,0,10.28,0,1.37,0,0,0,4.93,0,0.62,56.02,0,0,0,1.5,0,0,0,0,21.47,0,0,0.6
 36-46,0,0,0,0,0,0,24.3,0,4.71,0,0,0,3.91,0,2.15,84.94,0,0,0,0,0,0,0,0,19.32,0,0,4.15
 48-58,0,0,0,0,0.37,0,36.48,0,3.49,0,0.39,0,9.39,0,1.51,76.26,0,0,0,0,0,0,0,0,14.45,0,0,0
 60-70,0,0,0,0,0,0,27.8,0,2.16,0,0,0,7.92,0.71,1.36,88.76,0,0,0,0,0,0,0,0,3.9,0,0,0
 72-82,0,0,0.64,0,0,0.64,24.89,0,2.92,0,0,0.53,8.81,0,0.71,33.67,0,0,0,0,0,0,0,0,6.61,0.5,1.23,0.66
 84-94,0,0,0,0,1.22,0,10.58,0.91,5.51,0,0,0,12,0.66,0,38.83,0,0,0,0.76,0,0,0.7,0,0,0,0,0
 96-106,0,0,0,0,0,2.76,3.96,0,4.24,0,0,0,7.29,0,0.58,14.69,0,0,0,0,0,0,0,0,4.7,0,0,0.61
108-118,0,0,0,0,0.52,0.56,6.67,0,2.03,0,0,0,0.51,0,0.59,31.73,0,1.77,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,18.55,0,0,0,0,0,4.16,0,0,30.22,0,5,0,0,0,0,0,0,0,0,0,0
