stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,2.77,0.95,1.86,0,0,0,0,0,0.88,0,0,0,0,17.73,0,0,0,0.87,0,3.06,0,0,4.93,0,1.45,0,0
 24-34,0,0,0.68,0,0,0,0,0,0,2.21,0,0,1.58,26.46,0,0,0,0,0,0,0,0,8.08,0,0,0,0
 36-46,0,0,11.3,0,0,2.07,0,0,0,5.07,0,0,3.57,81.15,0,0,2.96,0,1.42,0,0,0,10.72,0,0,0,4.32
 48-58,0,0,13.25,0,0,3.27,0,0,0,2.6,0,0,1.72,59.94,0,0,0,0,0,0,0,0,12.18,0,0,0,0
 60-70,0.65,0,13.12,0,0,5.87,0,0,0,2.79,0,0,0,11.34,0,0,0,0,3.38,0,0,1.84,0,0,0,0,0
 72-82,0,0,12.81,0.55,0.7,0,0,0,0,1.55,0,0,0,19.52,0,0,0.56,0,0,0,0,0,6.23,0,1.47,0.75,3.27
 84-94,0,0,20.56,0,0,0,0,0,0,2.23,0,0,0,13.94,0,8.48,0,0,2.99,0,0,0,1.03,0.72,0.84,0,0
 96-106,0.88,1.56,15.25,0,0,1.51,0.96,0,0,5.92,0,1.29,0,9.33,0,1.03,0,0,0,0,3.58,0,0,0,0,0,0.63
108-118,1.8,0,1.74,0,0,7.29,0,0.9,0,10.03,0.52,0,1.46,21.82,0,0,1.01,0,1.6,0,0,0,0,0,1.45,0,4.46
120,1.65,0,4.26,0,0,0,1.91,0,0,2.87,0,0,0,24.85,1.25,0,0,0,0,0,0,0,0,0,0,0,0
