stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,glial,gut,heart,immune,iridophores,lateral.line,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,10.79,0,53.71,0,0,0,17.78,0,0,0
 14-21,0,1.22,0.84,0.9,0,0,0,0.92,0,0,0,1.8,12.23,0.92,0,0,0,1.15,66.32,141.11,1.76,0,0
 24-34,0,0.7,0,0.65,5.86,0,0,2.79,0,0,0,0.92,12.12,29.12,0,0,2.13,0,11.65,57.41,3.32,0,0
 36-46,0,0,0,1.32,16.34,0,0,1.51,0,0,0,3.58,24.28,6.59,0,0,0,0,2.28,2.13,2.69,0,0
 48-58,0,0,0,14.6,16.85,0,0,0.5,0,0,0,1.1,13.72,23.8,2.51,0,0,0,11.23,0,0.51,0.51,0
 60-70,0,0,0,4.01,21.26,0,0.62,0,0,0,0,0,10.74,13.77,0,0,0,0,2.53,0,0,0,0
 72-82,0,0,0,4.32,6.97,0,0,0,0,0,0,2.6,6.04,7.61,0,0,0,0,3.79,0,0,0,0
 84-94,0.66,0,0,5.58,6.42,5.37,0,0,0,0,0,3.25,10.63,3.7,0,0,0.64,0,3.05,0,5.61,0,0
 96-106,0,0.68,10.16,5.93,9.77,2.2,0,0.96,0.86,0,1.46,1.61,9.53,7.4,0,0,1.14,0,10.62,0,0,3.41,2.14
108-118,0,0,0,1.65,10.05,3.14,0.52,0,0,1.03,0,1.53,7.32,0.63,0,0,0,0,0.43,0,0,0,0
120,0,0,0,4.69,24.92,0,0,0,0,0,0,10.32,4.5,1.2,0,0,0,0,1.52,0,0,5.02,0
