stage,blastomeres,endocrine.pancreas,epidermis,eye,fast.muscle,gut,mesenchyme,muscle,neural,notochord,periderm,slow.muscle,spinal.cord
  5-6,6.44,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,7.26,0,0,0
 14-21,0,1.41,0,0,0,0,0,3.09,1.08,0,0,0,0
 24-34,0,0,0,1.2,0,0,2.05,0,0.72,0,0,0.61,0
 36-46,0,0.73,0,0,0,0,0,0,0.64,0,0,0,1.32
 48-58,0,0,0,6.66,0.9,0,0,0,0.85,0,0,0,2.21
 60-70,0,0,0,0,0.73,0,0,0,11.81,0,0,1.91,0
 72-82,0,0,0,0,5.07,0.67,0,0,0.95,0,0,0,0
 84-94,0,0,0.8,0,0,0,1.27,1.23,1.39,0,0.93,0.6,0
 96-106,0,0,0,0,0.68,0,2.61,0,0,0,0,0.62,0
108-118,0,0.57,0,0,0,0,3.63,0,3.36,0,0,0.99,0
120,0,0,0,3.39,0,0,0,0,2.41,0,0,0,0
