stage,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,0,11.22,0,0,4.93,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0,0,0,0.87,0,0
 24-34,0,1.2,0,0,0,0,0,0,0,0,0,17.56,0,0,0,1.58,0,2.46,0
 36-46,0,0,1.99,0,1.34,0,0,0,0,1.31,0.97,37.15,1.18,0,0,0,0,6.1,0
 48-58,0,0,2.88,0,1.26,0,0,0,0,0.74,0,15.64,0,0,0,0,0,0.88,0.62
 60-70,0,0,9.91,0,0,0,0,0,0,1.36,0,18.12,0,0.62,0,0,0,3.77,0
 72-82,0,0,8.81,0,2.12,0,0.5,0,0,1.32,0,8.23,0,0,0,0,0,0,0
 84-94,0,0,2.52,0.66,0.66,0,0,0,0,1.98,0,6.7,0,0,0,0.71,0,2.95,0
 96-106,0,0,10.32,0,0,0.74,0,0,0,0,0,7.4,0,0,0,0,0,0,0
108-118,0.96,0,11.81,0,0,0,0,0,1.61,0.82,0,2.1,0,0,0,0,0,0,0
120,0,0,0,0,3.25,0,0,5.74,0,0,0,55.38,0,6.66,0,1.71,0,0,0
