stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,6.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.21,0,0,0,0,1.15,0,0,0,0,0,0.81,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0,2.13,0,0,7.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,1.24,0,0,0,0,0,0,0,15.1,0,0,0,0,0,1.14,0,0.55,0,0,0.63,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.63,2.03,0,8.56,0.39,0,0,4,120.15,0,0,3.72,0,0,3.8,0,2.73,0,0,0.58,9.72,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,16.45,0,0,0,0,6.8,0,0,0,0,407.19,0,0,0.57,0,0,81.53,0,6.25,0,0,0,44.06,0,0,0,0,1.8,0,0,16.88,0,0,1.75,0,0.96
 72-82,0,0,83.15,0,7.37,2.57,0.76,66.78,0.5,9.6,0.56,7.95,1420.96,0,0,3.96,0,0,24.7,0,30.73,0,0,0.49,366.54,0,0,0,0,2.7,1.65,3.29,15.44,1.05,1.74,5.83,0,7.06
 84-94,0,0,58.71,9.54,4.32,11.96,0,66.26,0,0,3.04,8.68,2950.87,0,0.62,2.19,3.54,0,52.67,0.83,23.41,2.96,0,3.27,213.18,0,6.33,2.91,0,25.16,0,0,7.65,0,0,2.25,0,2.12
 96-106,0,0,69.39,1.28,22.07,39.21,0,297.31,0,5.53,0.64,38.73,5728.69,4.48,20.46,2.77,0.63,2.34,140.19,0,93.37,12.87,1.59,5.38,1842.71,0,8.3,7,2.97,106.89,0,0.63,6.47,3.6,1.62,11.82,2.3,19.03
108-118,0,0,106.42,14.59,29.21,13.23,6.88,152.14,2.66,6.81,4.86,29.76,8302.69,5.49,1.36,5.12,10.73,1.88,62.01,3.48,108.56,0,4.48,13.63,1729.15,0.45,2.98,2.05,4.05,38.51,0,4.66,6,2.65,4.05,24.91,4.62,1.77
120,4.73,0,61.41,0,13.02,18.3,3.03,111.11,0,1,0,34.36,4275.04,1.17,1.53,4.01,1.01,0,161.58,0,51.25,0,0,1.95,1190.15,1.42,0,0,0,28.93,0,0,0,0,1.95,6,3.24,0
