stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,368.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.31,339.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.17,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.82,5.87,0,12.09,0,0,4.54,0,0,0,0,0,10.84,0,0,0,0,0,0,0,0,0,0,0,133.08,22.46,0,0,39.42,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,19.27,0,0,30.73,0,0,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,207.21,0,0,0,75.88,0,0,0,10.02,0,0,0,0,0,0,0
 14-21,0,0,0,0,11.62,0.99,4.23,0,0,0,0,0,0,1.46,0,0,0,0,0,0,6.62,0,0,2.76,106.09,0,1.84,0.98,0,0,0.89,14.82,0,15.15,31.85,0,0,3.65,0,0.85
 24-34,0,0,0,0.81,3.18,3.4,15.11,0,0,0,1.06,0,0,0,0,0,0,1.96,0,0,8.48,0,0,3.24,180.54,0,0.85,1.97,0,0,4.65,0,0.74,2.09,46.61,0,0,2.22,0,0
 36-46,0,0,0,0,1.26,0,19.49,0,0,0,10.94,0,0,1.06,0.89,1.15,0.56,0,0,1.24,11.81,0,0,0,172.99,0,0.93,0.63,0,0,12.41,0,2,0,33.86,0,0,0.92,0,6.04
 48-58,0,0,0,0,1.77,0,47.48,2.21,4.6,0.81,9.5,0,0.49,0,0.96,0,6.09,0.39,0.7,0,11.45,0.81,0.89,0.98,118.02,0,0,0,0,0,11.99,0,2.86,0,36.27,0,0,0,0,2.3
 60-70,0,0,0,0,0,3.52,78.74,0,0,0,11.64,0,0,0,1.27,0,0,0,0,1.24,9.46,1.41,2.37,1.64,113.24,0,0,0.68,0,0,2.28,0,0,0,7.85,0,0,8.66,0,0
 72-82,0,0,0,0,0.5,0,97.49,1.48,0,0,5.89,0,0,0,0,0.64,0,0,1.03,0,22.41,0,0,3.04,102.43,0,1.41,0.9,0,0,2.69,0,0,0,7.64,0,0,2.15,3.06,0
 84-94,0,0,0,0,2.89,0,85.92,0,0,1.21,1.73,1.22,0,0,0.77,1.1,0,0,0.57,0,21.87,0,0,2.28,62.81,0,0,1.99,0,0,15.49,0,0,0,8.39,1.17,0.64,2.04,0.75,4.88
 96-106,0,0,1.05,0,1.23,0,71.06,0,0.59,0,12.78,3.64,0,0,1.38,0.97,0,0,0,0.6,16.72,0,0,1.69,50.84,0,2.18,0,0,1.61,9.75,0,0,0,0,0,0,0.94,0.89,0
108-118,0,0,1.03,0.74,1.86,0,92.32,0,0,0.78,6.84,3.11,0,0,1.06,1.24,2.12,1.77,2.63,0,14.38,0,0,0.45,73.27,0,0,0.81,0,1.33,3.65,0,1.28,0,0,0,0,5.69,1.26,1.27
120,0,0,0,0,4.12,3.62,67.7,0,0,0,0,3.15,0,0,0,0,0,0,0,0,20.32,4.3,6.81,4.22,107.29,0,0,0,0,0,2.54,0,1.75,0,5.26,0,0,0,0,0
