stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,428.17,5992.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.03,0,0,0,0,0,0,0,0,0,0,0
  5-6,384.76,5904.27,0,0,0,0,0,0,0,0,0,16.22,0,0,0,0,0,0,0,0,0,0,166.77,14.56,0,0,47.18,0,107.4,0,0,0,0,0,0,0,0,0,0,0
  7-9,112.24,144.6,200.11,0,0,239.29,0,0,0,0,0,80.63,0,0,0,0,0,0,0,0,0,0,4336.19,117.37,0,0,1094.08,0,0,11.11,0,0,0,0,0,0,0,0,0,0
 10-12,0,73.49,138.89,0,20.82,149.12,0,0,0,0,0,19.6,0,0,0,0,0,0,0,0,0,0,3122.56,15.19,0,0,808.88,0,0,0,0,86.65,0,0,6.79,0,0,0,0,0
 14-21,0,0,0,6.55,0,4.26,0,0,0,5.66,1.21,0,0,0,0,0,0,0,3,0,0,2.78,153.43,2.07,1,0,1.79,0,0,0,7.81,0,0,6.94,26.97,0,0,0.97,0,0
 24-34,0,0,1.26,6.92,0,34.56,0,1.2,0,3.05,0,0,0,0,0,0,3.15,0,15.74,0,0,15.23,743.65,6.91,7.93,0,0,0,1.78,0,0,0,1.16,0.74,131.68,0,0,2.96,0,0.86
 36-46,0,0,0,6.4,0,168.17,0,0,1.83,33.09,0,0,1.47,0,0.61,0,1.19,0,49.41,0,0,9.88,1523.47,1.14,4.09,3.17,0,0,0,0,0,0,0,0,262.61,0,0,7.57,0,3.87
 48-58,1.15,0,0,13.83,0,203.52,0,0.81,0.9,36.88,0,0,0.69,0,0,0,0.43,1.04,40.39,0,9.33,4.34,1097.59,0,0.44,0,0,0,2.62,0,0,0,0,0,188.96,0,2.51,8.05,0,0
 60-70,0,0,0,1.76,0.73,134.83,0,4.06,0.96,47.4,0,0,0,0,0.71,0,0,0,47.05,0,0,10.64,588.92,4.29,0,0,0,0,3.88,0,0,0,0,0,114.99,0,0,4.88,2.15,7.32
 72-82,0,0,0,1.89,0,83.69,0.5,0,2.25,23.01,2.12,0,0,3.15,0,3.43,1.53,0,120.08,0,10.51,9.35,310.96,0.86,0,0.57,0,1.75,0.9,0,0,0,0,0,43.79,0.67,0.87,0,0.49,0
 84-94,0,0,0,5.58,0,76.09,0.7,0.66,0.7,17.45,0,0,0.8,0,1.33,0,0.84,0,87.58,2.88,5.2,5.22,200.61,4.02,0.9,3.44,0,0,5.76,0,0,0,0.62,0,61.22,0,5.03,3.54,2.03,0.76
 96-106,1.12,0,0,6.52,0,74.56,0,0.7,3.85,43.16,2.17,0,0,0,0.75,0,0,1.68,110.49,0,2.28,8,140.04,0.69,0.59,2,0,0,1.46,0,0,0,0,0,16.38,0,0,4.8,2.25,0
108-118,0,0,0,20.02,0,77.34,0,0.69,0.65,35.21,1.1,0,0,0,1.4,0,3.17,0,112.44,0,10.83,11.68,277.08,3.34,0,2.59,0,1.8,1.37,0,0,0,0,0,2.73,0,3.92,2.33,1.16,0
120,0,0,0,9.16,0,73.12,0,3.82,1.52,74.96,4.64,0,0,3.38,0,3.91,0,0,196.83,0,5.31,15.24,465.57,0,11.95,9.97,0,0,2.03,0,0,0,0,0,12.25,0,3.89,11.34,13.04,0
