stage,axial,blastomeres,erythrocytes,eye,hatching.gland,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,pgc,spinal.cord
  3-4,0,41.56,0,0,0,0,0,0,0,0,0,0
  5-6,0,85.67,0,0,0,0,0,0,0,0,0,0
  7-9,6.14,0,0,3.35,0,0,15.01,0,0,9.47,0,0
 10-12,0,3.88,0,4.66,12.06,0,128.56,0,0,69.87,10.79,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.55
 24-34,0,0,0,0,0,0,4.17,0,0,0,0,0.64
 36-46,0,0,1.44,0,0,0,2.19,0,1.29,0,0,0
 48-58,0,0,0,2.9,0,0,0,0,0,0,0,1.57
 60-70,0,0,0,0,0,0,4.85,0,0,0,0,1.72
 72-82,0,0,0,0,0,1.3,4.76,0,0,0,0,0
 84-94,0,0,0,0,0,0,7.52,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0.71,0,0,0,0.96
