stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  5-6,9.58,66.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,7.51,0,0,0,0,0,0,0,0,0,0,15.03,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.06,5.27,0,0,0,4.54,0,0,0,0,0,0,0,0,0,0,81.56,0,0,0,16.56,0,0,19.68,0,0,0,0
 14-21,0,0,0,0.99,0,0,0.87,0,0,0,0,0,2.36,0,0,0,0.9,7.55,0,0,0,0,1.79,1.03,0,1.21,4.99,0,0
 24-34,0,0,0,1.95,0.62,0,2.03,0,0,1.43,0.73,0,0.7,0,5.17,0,0.6,53,2.54,1.32,0,0,0,0,0,0,12.03,1.09,0
 36-46,0,0,0,0.62,0,0,1.76,0,0,2.65,0,0,0,0,3.42,0,0,85.21,0,1.27,2.7,0,1.24,0,0,0,9.89,1.38,0
 48-58,0,0,0,0.63,0,0,15.75,0,0.44,12.17,0,0,0,0.54,3.81,1.17,1.12,45.33,0,0,0.53,0,3.12,0,0,0,14.06,1.15,0
 60-70,0,0,0,0,0,0,9.12,0,0,3.5,0,0,0,0,1.12,0,0,19.58,0,0,0,0,0,0,0,0,5.81,0,3.97
 72-82,0,0,0,0,0.68,0,12.58,0,0,3.34,1.99,0,0,0,6.44,8.37,0,41.6,0,0.49,0,0,0.58,0,0,0,5.66,2.85,6.97
 84-94,0,0,0,1.9,0,0,6.48,0,1.82,1.19,0,0,0,0,4.53,0,0.98,14.91,0,0,0,0,0,0,0,0,1.96,0,0
 96-106,0,0,0,4.95,0,0.62,1.92,1.02,0,0,0,0,0,0,12.34,0,0,15.34,0,0,0,0,6.59,0,0,0,0,0,0
108-118,0,0,0,2.81,0,0,3.58,0,0,3.14,0,0,0,0,3.35,0,0.5,3.7,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,1.59,0,1.61,0,0,16.93,0,0,18.23,0,0,1.47,0,0,0,0,0,8.64,1.48,0
