stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,21.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,67.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.3,23.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420.95,5.58,0,0,53.01,0,0,9.15,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.29,0,0,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415.56,30.41,0,0,105.88,0,0,0,0,11.35,0,5.05,0,0,0,0,0,0
 14-21,0,0,0,0,3.42,0,3.33,0,0,0,7.67,0,0,0,0,0,0,0,0,3.88,0,0,2.76,229.07,0,7.63,43.49,6.79,0,0,0,3.39,0,0,0.97,156.98,0,0,0,0,0
 24-34,0,0,0,0,0,0,15.26,0,0,0,20.27,0,0,0,0,1.32,2.14,0,0,7.46,0,0,12.18,1232.5,0.75,9.51,21.46,0,0,0,0,0,0,0,0.61,346.06,0,0,1.63,0,0
 36-46,0,0,0,0,2.86,0,223.32,0,0,0,34.11,0,0,0,0,0,0,0,0,14.32,0,0,1.34,2670.83,0,8.4,30.37,0,0,0,0,0,0,0,0,498.44,0,0,0.65,0,0
 48-58,0,0,0,0,3.97,2.12,1363.4,0,4.69,0,81.37,0,0.82,0,0,0,1.97,0,0,17.87,0.5,0.53,2.18,2990.79,0,4.42,10.96,0,0.56,7.1,0,0,0,0,0,456.07,0,0.4,0.89,0,5.86
 60-70,0,0,0,0,1.44,0,6073.72,0,1.64,0,63.36,0,0,0.6,0,0,0,0,11.2,31.21,0,2.96,2.16,3036.29,0,3.37,17.16,0,0,11.57,0,0,0,0,0,401.6,0,1.56,3.78,0,0
 72-82,0,0,0,0,11.85,1.78,5246.61,0,0.64,8.25,65.07,0.71,0.66,3.47,0,6.84,1.05,1.79,4.09,54.43,0,0,2.47,2846.75,1.13,3.78,11.51,0,0.71,0.56,0,0,0,0,0,325.98,0,1.24,5.67,0.52,14.9
 84-94,0,0,0.81,0,17.32,10.62,2993.16,0,0,0.91,73.7,1.71,3.7,5.01,0,1.66,0,0,0,21.37,0,1.89,4.15,1711.39,0,0.83,23.02,0,1.2,2.54,0,0,0,0,0,182.37,2.34,7.91,2.59,1.02,0
 96-106,0,0,0,0,12.61,15.62,2586.64,2.97,0,0,69.8,4.14,4.44,0,0,0,0,0,0,28.94,1.38,3.69,4.34,1186.13,0,6.55,14.3,0,0,5.54,0,0,0,0.68,0,53.78,0,0,0,4.34,2.41
108-118,0,0,0,0,14.99,9.44,2157.86,0,0.45,0.5,25.35,2.35,0.63,1.35,0.72,0,0,0.97,0,17.14,0.48,0,0.55,1571.53,0,6.38,16.13,0,0.89,1.43,0,0,0,0,0,55,2.47,0,0,0,0
120,0,0,0,0,25.03,0,1321.22,0,0,0,51.99,1.38,2,2.11,0,0,0,0,0,39.73,0,0,0,1972.09,1.38,0,6.75,0,0,0,0,0,0,0,0,96.75,0,4.83,0,0,0
