stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,17.22,597.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.83,229.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,9.29,0,0,0,35.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.46,0,0,0,13.43,0,0,0,0,0,0,0,0,0
 10-12,0,10.85,0,18.41,0,0,0,13.29,0,0,0,0,22.96,0,0,0,0,0,0,0,0,0,28.88,0,0,0,22.33,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.03,3.87,21.26,0,6.91,0,0,0,0,0,24.92,6.6,0,0,0,0,0,0,0,13.42,0,0,0,0,0,0,0,1.34,1.1,0.81,0,0,0
 24-34,0,0,0,0,0,0,0,5.6,0,0,0.6,0,0,30.02,0,0,0.96,9.95,0,0,0,1.62,14.26,0,0.62,0,0,0,0,0,0,0,1.8,0,2.66,0
 36-46,0,0,0.73,0,0,0,0,24.8,0,0,1.02,0,0.59,45.48,0.89,0,0,0,0,0.79,0,1.02,29.97,2.14,0,0,0,0,0.79,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,167.97,0,0,0,0,3.33,54.31,0.38,0,0,2.23,0,1.76,2.68,0,25.48,5.15,0,0,0,0,0.46,0,0,0,5.37,0,0,0
 60-70,0,0,0,0,3.78,0,0,963.63,0,0,1.57,0,0,58.44,6.21,0,1.2,0,0,1.15,0,0,25.42,0,2.1,0,0,1.46,1.95,1.3,0,0,2.54,0,0,0
 72-82,0,0,0,0,5.81,0.57,0,612.62,0,0,12.8,0,0.5,21.01,0.89,0,0,4.91,0,8.82,0.91,0,47.37,0,0,0,0,0,0,6.44,0,0,3.21,0,0,1.88
 84-94,0,0,0,0,0.61,0,0,441.36,0,1.21,5.15,0.65,0,40.65,2.76,0,0.74,17.18,0,0,0,0,12.79,0,0,0.87,0,0.57,0,21.68,0,0,0,2.89,0,0
 96-106,0,0,0,0,4.93,5.52,0,328.98,0,0,40.85,0.62,0,67.2,1.77,0,4.43,37.44,1.15,10.58,0,1.12,34.3,0,3.48,0,0,0.97,7.17,30.91,0,0,0.86,0,2.2,0
108-118,0,0,0,3.72,2.53,3.48,43.82,916.23,0.64,4.73,93.91,1.2,0,74.66,1.93,8.14,33.86,185.46,7.58,17.64,4.19,0,126.7,0,5.92,6.34,0,0.76,2.3,59.91,0,0,0,0,0,24.47
120,0,0,0,0,0,1.87,2.19,572.37,0,0,110.57,3.47,0,40.18,2.37,1.92,7.8,34.29,0,10.56,0,0,135.85,1.29,6.79,0,0,0,2.5,78.75,0,0,0,0,0,0
