stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,101.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,87.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,7.35,0,0,3.71,0,0,0,0,5.62,0,0,0,0,0,0,0,116.6,7.74,0,70.32,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.15,4.59,0,256.48,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.97,1.04,0,0,0,0.9,0,0,0,0,0,0,4.01,0,2.36,8,2.71,1.09,0,0,0,15.64,1.37,9.09,52.6,10.51,0,0,0,0
 24-34,0,0,0,4.4,0,2.26,0,0,1.15,0,0,0,0.65,0,0,2.92,0,7.54,76.55,1.89,0,0,0,0.8,0,0,0,14.04,22.74,0,0,0,0
 36-46,0,0,0,1.95,0,1.69,0.61,1.98,5.57,0,0,0,0,0,0,10.39,0,6.86,86.81,0,0,0,0,0,0,0,0,0,14.35,0,0,0,0
 48-58,0,0,0,0.57,0,6.82,0,0,1.08,0,0,0.38,0,0,0.47,9.5,0.41,3,57.04,0.5,0.47,0,0,0,0,0,0,0,7.32,0,0.82,0,0
 60-70,0,0,0,0.57,0,9.02,0,0.66,2.87,0,0,0,0,0,0,12.59,0,2.68,41.77,0,1.59,0,0,0,0,0,0,0,5.38,0,0,0,0
 72-82,0,0,0,0,0,6.69,0,0,4.02,0,0,0,0,0.83,0,15.8,2.6,1.13,12.25,0,0,0,0,0,0,0,0,0,3.54,0,1.2,1.26,0
 84-94,0,0.73,0,0.72,0,5.21,0,0,4.39,0,0,0,0.55,0,0,6.95,0,2.96,14.19,0,6.43,0,0,0,0,0,0,0,1.24,0,2.17,0,0
 96-106,0,0,0,0,0,9.15,0.71,0.59,3.29,0,0,0,0,0,0,10.76,0,0.59,4.86,0,0,0,0,0,0,0,0,0,0,0.92,0,0.66,0
108-118,0,0,0,0.46,0.74,1.78,0,0.52,4.25,0.48,0,0,0.83,0,2.41,12.13,0,1.58,24.47,0,0,0,1.83,0,0,0,0,0,0.94,0,2.06,0.99,0.57
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.38,0,3.06,9.27,0,0,0,0,0,0,0,0,0,0,0,0,1.82,0
