stage,epidermis,eye,fin_epithelia,glial,gut,ionocyte,iridophores,mesenchyme,mucous,neural,olfactory,periderm,spinal_cord,taste
 10-12,0,0,0,0,0,0,0,0,0,7.98,0,0,0,0
 14-21,1.01,0,0,0,0,0,0,0,0,2.05,0,0,0.91,0
 24-34,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,2.8,0,2.34,0,0,0,0,0,0.6,0,0,1.45,0.87,0
 48-58,17.22,0,3.32,0.87,0,0,0,1.84,0.56,11.02,0,11.04,0,0
 60-70,31.91,2.5,3.87,0,0,0,0,0,0,1.03,0,2.24,0,0
 72-82,40.93,0,1.82,0.61,0,0.52,0,3.24,0,0,0,2.71,0,0
 84-94,42.54,2.37,7.13,0,0,0.6,0.62,0,0,16.09,0,12.31,0,0
 96-106,82.17,9.14,7.31,0,7.26,0.7,0,6.04,0,4.07,0,19.63,0,0
108-118,88.83,1.73,11.8,0,1.49,1.03,0,0,0,8.49,1.02,16.69,0,1.48
120,80.83,0,9.15,0,1.19,2.02,0,0,1.05,3.24,0,13.99,0,0
