stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,63.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,154.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.81,31.51,3.56,0,0,0,5.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.03,0,0,0,4.66,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,7.08,0,0,3.02,0,0,0,0,0,0,0,0,0,0,36.35,1.03,0,0,0,14.01,1.9,0,0,0,0,0,1.8,0,0,3.43,7.04,0,0,0,0,25.83
 24-34,0,0,0,0,0,0,11.22,0,0,0,1.64,0,0,0,8.09,0,0,214.22,2.46,0,0,1.47,76.22,1.47,16.57,2.74,0,0,0.7,0,0,0,0,12.24,0,0,1.83,0,160.32
 36-46,0,0,0,7.25,0,0,10.09,0.73,0,0,2.03,0,0.56,0,18.88,0,0,283.76,15.89,0,0,0.85,97.34,1.9,12.06,1.66,0,0,0.66,0.81,0,0,0,3.17,0,0,0,0,234.59
 48-58,0,0,0,0.7,3.17,0,32.75,0.67,0,0.46,13.61,2.33,0,0,40.25,0.51,2.25,236.97,15.93,0,0.79,2.65,154.46,0,12.41,9.82,0,0,2.53,0,0,0.9,0,19.58,0,0,0,0,259.26
 60-70,0,0,0,0,0.59,0,100.79,0,0,0,65.82,0,0,6.66,88.27,0,0,158.96,82.56,0,0,0,239.65,1.1,17.44,11.05,0,2.33,0,0,0,0,0,53.86,0,0,0,0,216.18
 72-82,0,0,0,3.78,0,0,203.76,0.72,0,1.5,128.59,0.71,0,0,74.41,1.43,0,105.62,65.96,0,0,2.15,458.94,0,33.62,3.68,0,0,0,0,0,0,0,57.97,1.16,0,0.83,0.71,226.75
 84-94,0,0,0,4.79,2.48,0,146.18,1.27,0,0,88.53,0,0,0,64.39,0.67,9.21,212.82,55.7,0,0.89,0,340.16,0,33.12,6.91,0,2.68,0.88,0,1.21,0,0,40.38,1.67,1.21,0,0.57,115.13
 96-106,0,0,0,4.97,5.21,0,191.41,0.57,1.14,0.81,74.83,0,0,3.29,50.39,1.3,7.69,104.85,76.79,2.53,0,1.68,393.53,0,20.66,2.62,0,0,5.75,0,0,0,0,26.22,0,1.32,0,0,117.27
108-118,0,0,0,5.08,4.13,4.79,257.4,0,0,0,130.59,0,0,0,100.18,4.52,0,213.29,64.68,0,0,3.91,643.19,0,26.49,1.45,0,0,2.72,0,0,0,0,24.96,0,1.17,3.06,2.45,170.64
120,0,0,0,13.46,0,0,352.31,0,0,0,167.31,0,0,0,58.63,0,0,84.28,61.61,0,0,0,980.26,0,17.39,6.82,0,0,18.37,0,0,0,0,13.59,0,0,0,0,76.17
