stage,axial,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,slow_muscle,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,70.41,786.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.74,0,0,0,0,0,0,0
  5-6,6.08,372.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.04,0,7.36,0,0,0,0,0,0,0
  7-9,0,0,8.66,0,3.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.21,0,0,36.73,0,9.13,11,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,5.11,0,0,0,0,0,0,0,0,0,23.89,0,0,22.18,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52,0,0.96,0,0,0
 24-34,0,0,0,3.99,0,0,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0.89,56.62,0,1,0,0,1.82,0,0,11.88,1.61,0,0,0
 36-46,0,0,0,0,1.52,18.21,9.85,0,59.57,0,0,0,0,0,0,0,3.73,1.73,0,0,422.89,0,1.16,0,0,2.38,0,0,0.59,31.6,0,0,0
 48-58,0,0,0,0.93,38.43,3.97,8.53,0.94,170.3,0,0,1.51,1.42,0,0,0,7.28,4.86,0,0,605.01,0,0.68,0,0,1.65,0,0,4.2,151.16,0,0,0.48
 60-70,0,0,0,0,5.24,9.87,11.68,0,63.24,0,0,0,0,2.89,0,0,0,12.27,1.04,0,140.52,0,0,0,0,3.69,0,0,2.35,56.82,0,0,1.82
 72-82,0,0,0,0,9.7,2,7.93,0,25.99,1.48,0,0,0,0.65,0.89,1.23,0,10.32,1.12,0,50.21,0,5.11,0,1.08,1.21,0,0,1.55,7.12,1.27,0,0
 84-94,0,0,0,0.59,32.26,3.31,12.61,0,33.22,0,0,1.1,0,1.97,0,0,3.45,23.65,0,5.38,61.38,0,0,0,0,5.09,0,0,2.42,22.51,0,2.98,0
 96-106,0,0,0,1.32,19.19,2.49,5.78,0,21.67,0,0,0,0,4.17,0,0,0,10.32,0.92,0.82,58.93,0,3.34,0,0,1.91,0,0,2.06,3.87,0,3.51,0
108-118,0,0,0,11.27,2.84,3.76,17.99,0,32.4,0,0,0,0,12.15,1.56,0,1.07,14.61,4.08,4.84,106.32,0.49,1.68,0,0,3.4,0,0,3.29,6.64,0,3.71,0
120,0,0,0,5.79,1.2,8.63,14.31,0,84.96,0,0,4.26,0,10.44,0,0,0,58.45,0,0,125.67,0,3.9,0,2.67,7.65,2.3,0,0,0,2.73,18.86,0
