stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,15.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.16,0,3.42,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,0,0,0,0,0
 14-21,0,0,0,13.86,0,0,0,0,0,0,0,0,62.15,0,0,0,0,0,0,0,0,1.98,0,0,0,0,0,1.98,0,0,0,0,0
 24-34,0,0,0,5.62,0,1,0,0,0,0,0,0,169.83,0,0,0,0,0.66,0,0,0,6.23,0,0,0,0,0,0.66,0,0,4.78,0,0
 36-46,0,0,0,13.46,0,0,0,0,0,0,0,0,200.17,0,0,0,0,0,0,0,2.57,0.69,0,0,0,1.54,0,0,2.14,0,3.78,0,0
 48-58,0,0,0.7,0,0,4.51,0,0,0,0,0,0,322.99,0,0,0,0,7.18,0,0,0,13.55,0,0,0,0.39,1.25,0,0.93,0,24.8,0,0
 60-70,0,0,0.88,0,0,11.81,0.83,0,0,7.13,0,0.58,333.11,0,0,0.77,0,3.41,0,0,0.83,21.53,0,0,0,0,0,0,0,0,15.24,0,3.35
 72-82,0,0,2,1.36,0,9.99,1.54,4.54,0.77,17.7,0,0,324.38,0,0.93,0,0,12.81,0,0,0.68,33.25,0,0,0,0,0,0,0,0,44.95,2,3.44
 84-94,0,0,0.97,0.92,0,9.4,0,0,0,5.25,2.4,0,432.75,0,0,0,0,10.33,0,0,0,45.44,0,0,0,0,0,0,0,0,55.55,1.06,0
 96-106,0,0,7.76,1.76,0,12.92,2.11,0,0,14.68,4.41,0,487.39,0,0,0,1.54,10.77,0,0.93,1.41,20.3,0,0,0,6.8,0.71,0,0,0,66.78,3.03,0
108-118,0,0,7.51,0.8,1.44,12.25,0,0,0,17.34,0.64,0,412.47,1.03,0,0,5.37,10.53,0,0,0,38.38,0,0,0,3.35,0.47,0,0,0.51,41.91,4.13,0.51
120,0,0,1.81,0,0,0,0,0,0,28.6,0,0,611.71,0,0,0,0,17.02,1.16,0,0,33.28,0,17.15,0,0,1.74,0,0,0,49.92,18.49,0
