stage,blastomeres,epidermis,eye,fin.epithelia,glial,heart,immune,iridophores,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,vasculature
  3-4,105.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,111.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,18.42,0,0,0,3.77,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.09,4.78,0,0,0,0,0,2.03,0
 24-34,0,0,0.62,0,0.62,0,0,0,4.47,0,0,5.83,0,1.01,0,0,0.64,1.77,0.88
 36-46,0,0,4.51,3.81,0.59,0,0,0,0,0,0.64,15.37,0,0,0.57,0,0,6.91,0
 48-58,0,0,4.84,0,0,0,0,0,1.28,0,0,25.24,0,0,0,0,0,0.67,0
 60-70,0,0,2.93,0,3.13,0,0,3.59,1.53,0,0,15.83,3.57,0,0,0,0,1.17,0
 72-82,0,0,1.54,0,0,0,0,0,1.86,0.79,0,9.44,0,0,0,0,0,0,1.44
 84-94,0,1.26,0,0,5.88,1.78,0,0,0.82,0,0,25.73,0,0,0,0,0,3.02,0
 96-106,0,0,10.28,0,0,0,0,0,0,0,0,7.3,0,0,0.68,0,0,0,0
108-118,0,0,6.42,0,0,0,0.44,0,0,0,0,2.1,0,0,0,0,0,0,0
120,0,0,13.09,0,0,0,0,0,0,0,0,56.31,0,0,0,0,0,0,0
