stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.53,172.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,87.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.77,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,59.77,0,267.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424.03,5.55,0,0,165.56,0,0,0,570.91,0,3.24,0,0,0,0,0,0
 14-21,0,1.36,1.69,26.95,180,51.14,0,11.18,0,1.22,0,2.59,80.88,0,0,0,1.9,1.73,0,4.53,0,189.59,1.28,0,108.87,93.05,4.31,0,105,2.17,0,0,16.87,0.86,42.72,237.86,51.16,0,0,1.9,0,0
 24-34,0,0,1.81,7.71,71.54,3.08,0,44.01,1.68,3.92,1.95,13.9,0.63,0,2.69,0,0.8,4.03,0,2.99,1.19,292.24,2,0,96.9,184.77,25.12,1.03,24.32,0,5.81,12.42,0,0.79,33.41,73.58,27.01,0,0,7.82,0,0
 36-46,0,0,3.75,0,81.33,0,0,39.8,6.76,9.89,2.59,26.29,14.73,0,2.24,2.1,0,12.96,1.56,0,0,480.94,0,9.49,94.24,158.66,9.74,0.84,16.44,0,0.97,2.72,0,0.72,47.23,1.34,29.9,0,1.04,7.72,1.55,0
 48-58,0,0,2.26,0,24.1,0,0,55.88,10.1,7.9,1.61,20.86,6.03,0,0.78,0.52,5.15,13.08,1.24,1.61,1.39,580.19,0,15.43,66.42,138.34,7.28,0,18.48,0,1.24,2.31,0,0,12.05,0,17.61,0,1.88,1.38,1.21,0
 60-70,0,0,4.74,0,29.14,0,0,200.11,11.36,6.31,5.93,128.56,2.61,4.94,0,0,10.71,36.94,0.79,2.74,4.18,701.29,0,24.8,49.01,111.94,6.05,0.96,10.76,0,8.22,3.39,0,1.83,0,0,13.6,0,11.67,13.64,4.48,16.63
 72-82,0,0,5.35,0,12.78,8.28,0,320.41,7.33,1.13,3.25,154.11,7.45,0,0,0.64,4.98,22.75,2.09,0,1.44,551.41,0,7.24,36.24,72.67,1.51,0,15.5,0,8.69,0,0,0.49,1.35,0,3.12,0,5.19,0,10.92,0
 84-94,0,0,6.48,1.01,27.64,0.76,0,315.23,22.23,6.51,4.49,150.12,16.83,0,1.45,0.8,14.41,24.52,0,0,13.5,497.17,0,29.3,43,55.81,7.61,0.61,21.59,0,10.7,10.6,0,2.29,4.11,0,4.88,0,10.85,2.29,17.76,0
 96-106,0,0,1.23,0,25.07,0,0.56,455.85,10.38,3.95,4.41,176.22,9.17,1.06,3.07,0,15.09,23.78,0,0,0,287.23,0,12.15,24.41,48.62,3.88,1.33,22.78,0,9.47,0,0,0,2.08,0,6.84,0,9.33,4.46,10.21,0
108-118,0,0,1.52,0,23.98,0,0,358.27,11.37,6.48,1.59,210.62,8.25,0,0.8,0.47,36.36,47.25,1.29,4.07,3.54,282.53,0,6.28,24.38,79.52,10.62,1.05,15.04,0,28.45,3.1,0,3.83,2.41,0,4.74,0.72,0,3.46,14.34,2.59
120,0,0,1.43,0,14.82,0,0,297.36,11.74,3.99,0,247.19,20.21,0,3.46,0,20.21,42.74,0,0,1.6,265.26,1.31,14.03,17.8,76.97,23.7,1.88,31.85,0,34.8,3.65,0,0,1.69,0,0,0,15.41,0,0,0
