stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,immune,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,28.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.81,0,0,0,0,0
  5-6,7.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,15.07,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
 14-21,0,0,14.26,13.68,0,0,1.16,0,0,0,0,0,30.09,0,0,0,178.44,0,0,0,0,0,97.85,0,0,0
 24-34,0,0,0,7.43,1.7,0,12.5,0,2.78,1.08,0,0,13.8,0,1.73,5.29,2167.34,0,0,0.62,3.77,1.1,659.94,0,0,0
 36-46,0,0,0,0,0,0,30.99,0.58,0,0,0,0,2.13,0.99,4.1,0.55,1730.43,4.5,0.67,0,5.94,0,569.11,0,0,0
 48-58,0,0,0,2.66,0,0,85.02,0,3.95,0,0,0,1.04,0,6.47,2.52,883.25,0,0.89,0,0.38,0,244.89,0,0.66,7.33
 60-70,0,0,0,9.38,0,0,77.17,0,0.79,0,0,0,0,0,0.71,0,601.01,0,0,0,4.55,0,115.56,0,0,0
 72-82,0,0.56,0,0,0.64,0,50.63,0,8.91,0,0,0,1.6,0,5.2,0.81,490.48,0,0,0,0,0,73.71,0,0.79,1.14
 84-94,0,0,0,0,0,0,62.16,0,3.55,0,0.61,7.2,0,0,2.37,0,285.28,0,0,0,2.45,0,64.51,0,0,0
 96-106,0,1.36,1.03,1.89,2.03,0,86.83,0,1.65,0.76,0,0,3.72,0,5.25,1.05,271.89,0,0,2.09,0,0,33.76,2.22,0,0
108-118,0,0,0.57,0,0,0,102.21,0.65,10.38,0,0,0,0,0,6.96,0,439.42,0,0,0,0,0,30.93,0,0,0.85
120,0,0,0,2.14,0,14.01,110.7,0,23.18,0,0,0,1.18,0,9.83,0,611.9,0,0,0,2.86,0,62.62,0,1.1,0
