stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.53,6.07,0,6.9,0,0,0,0,0,0,0,0,0,0,0
  7-9,48.97,21.61,0,29.39,0,0,3.42,0,0,0,0,0,12.77,0,0,0,0,0,0,0,0,0,88.65,228.03,0,927.98,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,43.63,0,172.47,0,0,22.71,0,0,0,0,0,11.14,0,0,0,0,0,0,0,0,0,154.43,761.13,0,1980.05,0,0,46.88,67.81,0,247.16,0,0,0,0,0
 14-21,0,2.8,5.52,95.03,23.9,15.85,0,0,1.76,0,0,9.65,0,0,2.44,0,0,0,89.38,0,0,490.31,148.92,35.9,0,14.83,0,3.08,781.01,2.62,129.8,4230.9,13.71,0,0,0,0
 24-34,0,0,2.15,18,13.13,0.76,2.9,0,12.93,0.67,0.96,0,0,0,0,0,0,3.58,132.37,0,0,350.58,70.78,2.56,0,0,0,0,4.37,0,19.99,644.87,12.33,0,0,1.13,0
 36-46,0,0,0,0,0,0,11.1,1.74,17.6,1.75,0.71,0.87,0,0,0,0,0,0,207.24,0,0,97.56,43.25,0,4.4,0,0,0.64,0,0,1.22,0.83,16.04,0,0,0,0
 48-58,0,0,0,0,0,0,0.92,0.85,10.09,0,0.49,0.39,0,0.44,0,0,0,0,148.24,0,0,79.02,55.17,0,0,0,0,2.27,0,0.65,0,0,5.73,0,0,0.77,0
 60-70,0,0,0,0,0,0,7.66,0,8.68,0,0.83,3.91,0,0,4.06,0,0,0,159.91,0,0,28.88,43.59,1,0,0,8.44,0,0,0,0,0,8.31,0,0,0,0
 72-82,0,0,0.86,0,14.95,0,20.7,1.29,38.08,0.96,6.27,10.03,0,0.55,0,0,0,0,162.25,0,0,34.57,21.45,0,0,0,0,0.51,0,0,0,0,0,2.09,3.36,0.6,0
 84-94,0,0,0,0,13.83,0,23.61,2.58,54.14,0,0,8.12,0,12.37,0,0,0,0,164.23,0,0,18.62,34.5,0,0,0,0,0,0,0,0,0,1.07,0,0,0,5.56
 96-106,0,0,2.46,0,8.67,10.42,88.56,0,260.14,0.64,2.97,9.69,0,1.72,0,1.22,0,10.9,249.01,2.66,0,43.66,20.12,0,0,0,0,0.64,0,0,0,0,2.11,1.18,0,0,0
108-118,0,0,0,0,34.85,0,42.29,0,63.08,0,0,7.78,0,0,0,0,1.02,0,106.76,2.85,1.55,32.48,18.59,0,0,0,0,2.98,0,0,0,0,0,0,1.36,4.53,0
120,0,0,0,0,1.13,0,30.51,1.04,28.36,0,1.79,7.59,0,0,0,0,0,0,156.05,0,0,24.48,20.73,8.12,0,0,0,0,0,0,0,0,0,0,0,0,0
