stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,73.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.99,0,0,0,12.05,0,0,0,0,0,0,0,0,0,0,0
 10-12,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.52,0,0,0,62.29,0,0,0,0,0,0,5.09,0,0,0,0
 14-21,0,398.13,2.78,11.23,0,0,0,39.95,0,0,0,1.2,0,0,0,0.99,65.7,6.47,0,85.36,157.08,4.34,0,1.87,0,0,2.05,3.37,0,0,2.98,421.96,0,6.1,0,0
 24-34,0,60.98,0.68,12.81,0,2.08,1.95,57.74,0,2.56,0,0,6.59,0.64,0,21.02,176.57,0,1.21,183.61,197.48,0,0,0,0,0,3.01,0,0,0,2.69,354.66,0,45.85,0,2.44
 36-46,0,26.59,0,5.93,0.67,14.12,6.24,34.7,0.59,1.95,7.06,0,20.2,0,0,7.19,212.92,3.65,1.66,167.08,134.16,0,0.6,0,0,2.1,0,3.27,23.09,0,3.3,230.65,0,23.82,0,3.71
 48-58,0,3.87,0,8.72,0,8.54,44.52,8.45,0,1.04,1.92,0.49,4.02,0,0,1.01,201.89,0,1.33,98.54,66.2,0,0,0,0,0,0,0,0,0,0,58.13,0,26.07,0.81,0.53
 60-70,0,1.4,0,77.59,0,8.16,8.04,16.73,0,0,1.63,0,13.25,0,1.2,1.24,266.18,0,12.21,55.51,38.27,0,0,1.84,0,7.66,0,0,0,0.76,0,19.48,4.44,19.45,2.68,1.98
 72-82,0,2.74,0,239.46,0,1.45,12.64,28.26,0,1.48,2.98,0,14.62,0,0.96,0,264.41,0,10.7,75.75,75.04,0,0,0,0,7.72,0,0,0,0,0,1,3.93,85.15,12.35,0
 84-94,0,0,0,323.17,0.67,0,10.1,10.32,0,1.94,2.74,0,9.57,0,0,10.35,221.64,0,20.39,54.62,54.42,0,0,0,0,17.44,0,0,0,0,0,0.61,4.07,45.91,3.37,0
 96-106,0,3.97,9.19,214.36,0.71,1.92,5.39,41.76,1.38,4.76,18.25,0,21.28,0,0.61,0,309.71,0,11.28,60.8,77.05,0,0,0,0,23.63,0,0,0,0,0,3.35,12.54,84.25,7.5,0
108-118,0,3.2,0,267.59,0,0.93,12.74,23.71,5.77,0.43,10.56,0,52.71,0,1.81,0,381.52,0,26.01,42.39,102.12,0,0,0,0,80.99,0,0,0,0,0,9.41,8.8,97.28,7.48,1.05
120,0,11.07,0,660.99,1.57,2.48,31.25,18.22,33.71,4.21,42.12,0,43.01,0,0,0,467.7,0,29.05,112.13,101.58,0,0,0,0,50.26,0,0,0,1.52,0,0,31.2,224.61,9.56,0
