stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,12.63,885.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,66.33,1106.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,20.82,14.58,0,4.93,0,0,0,60.33,0,0,0,0,16.69,0,0,0,0,0,0,0,0,624.9,21.27,0,174.14,0,22.9,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.42,0,20.98,0,0,0,32.64,0,0,0,0,25.22,0,0,0,0,0,0,0,0,518.56,10.02,0,224.24,0,9.77,4.76,21.21,0,4.89,0,0,0,0,0,0
 14-21,0,0,0,0,7.05,1.21,0,0.87,0,0,0.94,0.82,0,0,0,0,0,0,1.85,0,0.84,37.17,1.7,0,1.99,0,0,5.05,0,0,7.24,3.65,0,0,2.46,0,0
 24-34,0,0,0,0,1.07,0,0,2.16,0,2.39,0.83,0,0,2,0,0,0,0,1.63,1.52,0,58.89,0,2.09,0,0,0,0,1.32,1.15,0,7.67,0,0,0,0,0
 36-46,0,0,0,0,0.92,0,0,5.22,1.19,1,0.65,0,0,0,0,0,0,0,2.66,0,0,38.95,0,0,0,0.72,0,0,0,0,0,10.28,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,24.81,0,0,4.16,1.69,0,0,0,0,0,0,6.51,0,0,49.76,0,0,0,0,0,0,0,0,0,15.04,0,0,7.59,0,2.76
 60-70,0,0,0,0,0,0.64,0,30.24,0,2.5,6.96,1.72,0,0,0,0,0,0,3.35,0,0.58,49.19,0,0,0,1.57,0,0,0,0,0,6.07,0,1.06,0,0,0
 72-82,0,0,0.87,0,0,0,0,24.22,0,0.75,1.42,0,0,0,0,0,0,0.55,8,0,0,48.87,0,0,0,0,0,0,0,0,0,5.11,0,0,5.25,0.77,0
 84-94,0,0,0,0,2.81,0,0,19.72,0,0,4.88,0,0,0.7,0,0,0,0,14.12,4.01,1.8,19.47,0,0,0,0.82,0,0,0.64,0,0,0,0,0,4.94,0,0
 96-106,0,0,0,0,1.52,1.05,0,17.33,0,0,2.9,0,0,0,0,0.81,0,0,3.74,0.68,2.36,22.2,0,0,0,0.71,0,0,0,0,0,0,1.44,0,0,0,0
108-118,0,0,0,0,0.54,3.04,0.46,21.95,0,0,8.06,0.91,0,0,0.64,0,1.66,0,1.58,0.92,1.7,29.02,0,1.84,0,2.91,0,0,0,0,0,3.49,0,0,3.16,0,0
120,0,0,0,0,5.72,0,0,12.04,0,0,0,1.25,0,0,1.52,0,0,0,0,0,2.41,120.59,1.66,0,0,1.02,0,0,0,1.99,0,22.66,0,0,0,0,0
