stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,325.03,5366.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221.59,0,0,0,0,0,0,0
  5-6,347.76,2766.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.63,9.37,0,0,18.39,174.72,0,0,0,0,0,0,0
  7-9,10.5,13.98,18.26,0,22.32,0,0,0,32.39,0,0,0,0,0,0,0,344.6,7.1,0,0,76.31,0,79.75,0,0,0,0,0,0
 10-12,0,0,0,0,19.39,0,0,0,0,0,0,0,0,0,0,0,156.26,0,0,0,19.74,0,36.23,8.1,0,0,0,0,0
 14-21,0,0,0,1.92,0,0,0,0,0,0,0,0,0,0,0,0,6.48,0,0,0,0,0,2.02,0,0.99,1,0,0,0
 24-34,0,0,0,5.06,1.4,0,0,0,0,0,0,0,0,0,0,0,9.45,0,0,0,0,0,0,0.64,0,4.61,0,2.14,0
 36-46,0,0,0,0.88,1.95,0.56,0,0,0,0,0,0.67,0,0,0,0,8.16,0,0,0,0,8.13,0,0,0,0,0,8.2,0
 48-58,0,0,0,0,1.58,0.38,0,0,0,0,0,0,0,0,0,0,7.01,0,0,0,0,4.02,0,0,0,0.44,0,16.19,0
 60-70,0,0,0,2.61,4.71,0,0,0,0,0,0,0,0,2.66,1.01,0,6.01,0,0,2.43,0,0,0,0,0,2.85,0,3.69,0
 72-82,0,0,0,0,0,0,0.82,0,0,0.49,0,0,0,0,0.74,0,3.2,0,0,0.86,0,0,0,0,0,0,0.72,8.42,0
 84-94,0,0,0,5.36,10.48,1.85,0,0.64,0.91,0,0.82,0,0,6.44,0,0,1.09,0,0,1.29,0,1.85,0,1.84,0,0,1.07,0,0
 96-106,0,0,0,4.55,20.22,3.96,0.95,0,0,0,0.73,0,9.15,7.32,0,3.53,9.65,0,0.57,0.71,0,1.2,0,0,0,0,1.5,2.67,0
108-118,0,0,0.61,4.82,19.31,0,2.38,0.68,0,0,0,0,0,1.54,0,0,3.66,0,0,0,0,0,0.79,0,0,0,0,0,1.17
120,0,0,0,3.44,4.48,0,0,2.99,0,0,0,1.34,0,0,0,0,0,0,0,0,0,1.01,3.83,0,0,0,0,0,0
