stage,blastomeres,epidermis,eye,glial,gut,heart,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,70.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,47.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.5,0,0,0,0,0,0,0,16.96,0,3.47,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,23.82,0,12.33,0,0,0,0,0
 14-21,0,0.87,0,0.92,0,0,2.13,0,8.67,0,0,0,0.83,0,0,0
 24-34,0,2.01,4.71,0,0,0,5.53,0.62,35.5,0,0,1.23,0.81,5.19,0,0
 36-46,0,0.65,4.57,0,0,0,4.03,0,12.19,0,0,0.71,0,10.44,0,0
 48-58,0,1.44,9.82,0,0,0.45,0.7,0,22.88,0,0,0,0,3.05,0,0
 60-70,0,0,19.53,0,1.93,0,3.08,0,32.45,1.67,0,0,0,0,4,0
 72-82,0,0,4.24,0,0,0,1.28,0.64,9.38,0,0,0,0,0,0,0
 84-94,0,0.58,2.34,1.75,0,0,8.4,0,4.19,0,0,1.25,0,0,0,0
 96-106,0,1.62,2.62,3.04,0,0,5.56,0,1.24,0,0,2.34,0,0,0,0
108-118,0,0,0.42,2.65,0,0,3.96,0,3.78,0,0,0,0,0,0,0.54
120,0,0,0,0,0,0,0,0,6.57,0,0,0,0,0,0,0
