stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,17.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.47,68.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.73,0,0,0,0,6.36,0,0,0,0,0,4.54,0,0,0,0,0,0,0,0,0,0,0,57.32,0,0,0,59.57,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.4,45.85,0,15.91,0,15.89,0,0,0,0,0,8.25,0,0,0,0,0,0,0,0,0,0,0,238.51,19.89,0,0,59.48,0,6.22,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.73,37.97,3.5,0,10.31,0,0,0,2.21,0.85,0.98,0,0,0,0,0,8.48,0,16.5,0,0,15.4,86.99,144.93,0,0,2.71,0,19.46,12.33,0,3.04,18.54,41.75,0,0,1.09,0,0
 24-34,0,0,1.62,16.72,1.93,0,34.15,0.68,3.11,0.63,3.8,0,0,4.08,0.6,0.79,0,0,0,0,89.83,0,0,51.52,225.11,27.78,3.12,2.89,0,0,21.93,0,0,2.41,5.07,58.92,0,0,7.69,0,0
 36-46,0,0,0,54.68,0,0,28.13,1.43,0.62,2.93,39.58,0,0,3.66,11.77,0,0,0,0,7.13,105.17,0,2.45,28.84,139.98,10.09,2.08,0.58,0,0.77,17.94,0,1.02,36.08,0,34.21,0,0,10.7,0,1.16
 48-58,0,0,0,15.72,2.76,0,47.63,6,8.17,6.54,39.21,0,0,3.99,0,0,1.23,0.38,0,0.59,143.84,0,0,21.4,139.49,7.8,0,3.16,0,1.42,7.93,0,0,6.1,0,31.88,0,1.35,5.45,0,0
 60-70,0,0,0,15.77,0,0,62.76,4.49,11.12,6.28,72.3,0,0,0,0,0,2.04,2.72,0,0,224.26,0,2.54,22.14,156.51,24.79,0,4.44,0,0,6.2,0,0,1.39,0,40.79,0,6.61,2.25,0,8.6
 72-82,0,0,0,21.55,6.09,0,33.74,2.05,1.75,13.97,74.24,0,0,10.02,7.67,0,0,0,0,0,199.52,0,11.9,18.84,73.88,11.56,1.22,1.94,0,0,1.8,0,0,1.31,0,18.49,1.36,2.49,16.15,7.86,0
 84-94,0,0,0,19.53,2,0,57.54,2.31,8.1,6.86,99.48,0,0,0,5.05,0,7.26,0,1.36,1.55,160.24,0,9.74,10.77,50.86,13.45,0,2.26,0,0,13.84,0,0,0.81,0,10.97,0.55,3.2,9.88,5.97,3.37
 96-106,0,0,0,18.5,4.03,1.75,74.25,6.9,4.17,5.88,58.27,2.07,0,0,4.99,0,0,0.68,0.63,0,112.12,0,15.25,4.42,95.65,1.24,2.46,4.41,0,2.17,6.78,0,0,5.13,0,11.6,1.68,2.52,13.64,15.07,3.46
108-118,0,0,0,20.3,0.69,0,68.09,3.63,8.12,3.65,55.04,0,0,2.42,3.91,0,8.15,0.69,0.5,0.55,138.68,0.44,3.36,10.99,81.2,5.51,2.18,4.76,0,0,6.74,0,0,4.58,0,13.77,0,7.55,2.93,4.11,0
120,0,0,0,20.49,0,0,46.59,6.33,8.28,28.66,113.85,0,0,0,6.04,0,2.6,0,0,0,189.22,0,59.52,3,261.71,7.36,0,12.72,19.84,0,2.24,0,0,15.56,0,35.79,0,9.48,18.45,10.94,0
