stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,101.41,2475.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,891.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,339.55,5397.86,0,0,0,0,0,0,0,0,0,0,0,15.17,0,0,0,0,0,0,0,0,0,0,79.29,33.54,0,0,39.98,0,1071.45,0,0,0,0,0,0,0,0,0,0,0
  7-9,90.82,91.33,0,80.34,0,0,0,328.41,0,0,0,0,0,67.41,0,0,0,0,0,0,0,0,0,0,2919,154.67,0,0,1099.4,0,133.13,44.22,0,9.82,0,0,0,0,0,0,0,0
 10-12,9.78,151.69,0,147.96,0,12.56,0,282.23,0,0,0,0,0,113.78,0,0,0,0,0,0,0,0,0,0,3198.5,199.74,0,0,829.72,0,40.11,63.54,4.19,176.6,0,13.32,0,0,0,0,0,0
 14-21,0,0,2.62,4.57,52.17,0.81,0,31.79,0,0,0,6.19,0,2.12,0,0,1.92,0,0,0,18.59,0,0,7,174.84,15.89,3.06,0.86,1.81,0,22.67,0,13.86,0,4.65,32.35,31.55,0,0,0,0,0
 24-34,0,0.83,1.93,5.28,12.75,0.66,0,54.39,0,0.73,0,3.63,0.77,0,0,0,27.3,0,1.37,5.79,24.41,0,0,16.77,460.19,2.52,11.1,1.8,0,0,6.7,0,0,5.45,0.61,5.74,77.73,0,0,12.31,0,0.81
 36-46,0,0,1.4,0,14.2,0,0,72.1,0,0,0,36.73,0,0,0.75,0,8.68,0,0.8,0,53.81,0,2.69,13.12,646.65,3.74,25.51,0,0,0,4.36,0,0,6.73,1.91,0,117.5,0,0,10.63,0,0
 48-58,0,0,0.4,0,1.58,0,0,105.48,0.67,1.07,1.68,27.59,0.69,12.54,0,1.9,8.33,0,0,0,35.01,0,0.96,3.94,344.31,1.41,3.36,0.46,0,0.45,0,0,0,0,1.14,0,44.05,0,0,5.91,0,1.69
 60-70,0,0,0,0,6.64,0,0,200.02,1.72,0.99,0.64,47.9,1.31,14.94,0,0,25.47,6.88,2.55,0,52.05,0,0,4.59,347.85,0,10.22,0,0,0,0.69,0,0,1.68,0,0,40.72,0,0.61,2.01,1.54,8.59
 72-82,0,0,1.46,0,3.42,2.47,0,105.51,2.34,1.37,1.62,34.52,0.72,4.87,3.58,1.66,4.58,0,1.86,0,72.29,2.8,3.38,4.1,199.04,0.55,8.18,1.3,0,0,1.09,0,0,0,0,0,25.49,0,1.7,9.35,2.49,0.55
 84-94,0,0,0.86,0,18.46,0,0,157.38,0.66,4.42,0,61.69,4.15,12.59,1.02,5.7,23.17,2.46,1.2,0,50.34,0,2.02,6.43,166.85,0.67,4.08,1,0,0,3.94,1.4,0,0,0,0,51.59,1.58,1.74,13.37,6.35,0
 96-106,0,0,0,0,5.74,0.81,0,208.59,0,2.05,2.05,46.24,10.05,1.06,0,11.19,14.12,4.83,0.6,4.75,75.42,8.2,0.59,3.61,135.44,5.3,6.12,0.64,0,6.04,4.13,0,0,0,0.84,0,14.42,2.65,0,19.88,1,0
108-118,0,0,2.93,0,15.33,0,6.87,218.18,7.34,0.52,5.53,57.8,14.16,0,1.51,9.07,31.17,7.72,0,3.46,127.51,2.61,3.09,14.5,250.21,7.25,11.99,1.06,0,1.6,2.54,0,0,0,0,0,25.72,7.8,3.71,13.99,1.76,2.24
120,0,0,0,0,19.87,0,4.63,187.43,0,4.67,0,68.41,5.68,0,0,19.36,23.98,16.15,0,0,172.31,2.91,36.91,17.44,425.47,15.81,25.49,4.85,0,14.23,2.89,0,0,0,0,0,15.24,4.25,1.32,15.54,1.8,0
