stage,exocrine_pancreas,eye,fast_muscle,immune,iridophores,lateral_line,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,periderm
  7-9,0,0,0,0,0,0,0,0,3.53,0,4.89,0
 14-21,0,0,0,0,0,0,0,0.89,0,0,0,0
 24-34,0,0,0,0,0,0,0.68,0,2.31,4.91,0,0
 36-46,0,0,0,0,0,0,0,0,0,7.68,0,0
 48-58,0,0,0,0,0,0,0,0,0.51,29.8,0,0
 60-70,0,0.62,0,0,0,0,3.99,0,3.72,37.45,0,0
 72-82,0,0.8,0,0,0,0,0,0,0.76,60.83,0,0
 84-94,0,2,0,0,0,0,0,0,0,23.34,0,1.86
 96-106,0,2,0,0,0,2.28,2.45,0,2.37,62.66,0,5.62
108-118,0.43,6.73,0,0,0,0,0.51,0,0,50.46,0,0
120,0,0,1.18,4.56,6.33,0,0,0,20.45,80.86,0,0
