stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,spinal_cord,vasculature
  3-4,0,13.51,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,19.68,0,0,0,0,0,0,0,0,0,12.09,0,0
  7-9,9.4,0,0,0,4.22,0,0,0,13.71,3.43,9.16,0,0,0
 10-12,0,0,0,0,0,0,0,0,38.88,18.7,5.53,0,0,0
 14-21,0,0,1.07,0,0,0,1.06,1.73,1.79,0,0,0,0.8,0
 24-34,0,0,0,0,2.73,0,0,0,4.79,0,0,0.61,0.94,0
 36-46,0,0,0,0,1.82,0,0,0,3.99,0,0,0,5.05,0
 48-58,0,0,0,0,1.47,0.81,0,0,8.92,0,0,0,1.56,0
 60-70,0,0,0,0,9.26,0.79,1.54,0,5.36,0,0,0,0,0
 72-82,0,0,0,1.87,3.11,0,0,0,1.26,0,0,4.08,0,0
 84-94,0,0,0,0,5.1,0,3.13,0,2.37,0,0,0,0,0
 96-106,0,0,0.82,0,1.25,0,0,0,1.49,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,8.59,0,0,0,0,0.64
