stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,86.11,2367.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.5,0,0,0,0,0,0,0,0,0,0
  5-6,126.43,1967.39,0,0,0,0,0,0,0,0,0,16.25,0,0,0,0,0,0,0,0,0,0,0,48.71,0,0,0,19.9,0,42.17,0,0,0,0,0,0,0,0,0,0
  7-9,5.16,4.62,0,0,0,0,15.61,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0,198.68,24.79,0,0,70.32,0,0,28.62,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,17.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.39,0,0,0,23.65,0,0,0,8.18,0,0,0,0,0,0,0,0
 14-21,0,0,1.23,7.97,5.32,0,1.31,0,0,1.24,0,0.86,0.85,0,0,0,0,0,0,0,0,0,0,23.7,0,0,0,0,0,7.42,0,0,0,0,7.39,0,0,0,0,0
 24-34,0,0,1.55,2.08,3.17,0,7.5,0,0,0,0.69,0,0,0,0,0,0.96,0,0,0.71,0.79,0,0.74,69.3,0,5.35,0.73,0,0,25.48,0,1.5,0,0.95,18.08,0,0,2.71,0,0
 36-46,0,0,0.69,0,0,0,5.73,0,0,0,0,0,0,1.86,0,0.61,0,0,7.46,5.54,0.77,0,0,41.16,0,2.56,2.09,0,0,18,0,3.08,4.33,0,9.31,0,0,0.6,0,4.09
 48-58,0,0,0.54,0,0,0,22.79,0,0.81,20.64,0,0,0.4,0.69,4.84,0,0,3.07,5.03,13.11,0.46,0,3.39,38.67,0.4,2.71,1.22,0,0,17.16,0,0,0,0,9.36,0,0,2.73,0,7.09
 60-70,0,0,0.62,0,0.63,0,60.11,0,0,28.85,4.95,0,0.58,1.38,0,0.93,0,0,0,19.1,0,1.56,0.8,52.7,0,5.92,4.6,0,0,6.91,0,0,0,0,10.05,0,0,3.49,0,11.26
 72-82,0,0,2.44,2.63,9.43,0,78.1,0,0.55,43.58,1.26,0,0,0.9,0.52,0,0.56,0,0,52.22,1.34,0,7.65,92.95,0,3.98,1.48,0,1.51,13.49,0,0,0,0,9.75,3.09,0.87,1.91,0,9.31
 84-94,0,0,1.6,5.03,2.47,0,44.51,0,0,20.96,4.82,0,0,10.34,1.93,0.7,0,2.97,2.21,51.85,0,0.66,3.59,96.48,0,7.54,15.84,0,0,22.63,0,1.18,0,0,3.09,0.86,0.74,1.84,1.49,0.76
 96-106,0,0,0,5.99,23.79,0,58.75,0.62,3.66,57.59,4.21,0,1.52,5.79,1.56,1.61,0,3.75,0,55.53,0,1.49,2.33,74.36,0,8.47,3.89,0,1.6,37.95,0,0.59,0,0,17.17,2.25,4.14,4.22,0,0.9
108-118,0,0,1.91,4.97,15.98,7.1,52.83,0.45,1.8,59.01,2.14,0,0.8,9.46,0,0,0.41,1.06,0.75,52.78,0.57,0,0.51,102.42,0,19.98,7.75,0,0,40.45,0,0,1.19,0,5.28,1.02,0,3.86,5.38,2.76
120,0,0,0,26.5,21.49,7.01,20.58,1.8,5.4,75.62,7.99,0,0,16.52,1.48,0,0,18.43,0,80.53,2.69,19.65,0,253.48,3.58,3.09,21.08,0,0,77.08,0,1.73,0,0,24.08,3.92,2.71,37.2,0,3.28
