stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching.gland,lateral.line,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord
  3-4,0,52.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,26.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.41,0,4.92,0,3.31,0,0,0,0,19.7,0,0,12.57,0,0,0
 10-12,0,0,0,0,0,0,3.11,0,0,16.86,0,0,0,0,0,0
 14-21,0,0,0,2.99,1.54,0,0,0,0,0,0,0,0.89,0,1.29,0.86
 24-34,0,0,0,0,0,0,0,0,0,3.95,1.32,1.07,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,2.61,0,0,0,0,0,0
 48-58,0,0,0,3.31,0,2.03,0,0,0,2.88,0,0,0,0,0,0
 60-70,0,0,0,0,2.81,0,0,0.77,0,1.9,0.99,0,0,0,0,0
 72-82,0,0,0,0,1.03,0,0,0,4.91,12.99,0,0,0,0.6,0,0
 84-94,0,0,0,0,0,0,0,0,0,7.2,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.63,0,0,1.04,2.74,0,0,0,0,0,0
108-118,0,0,0,0,2.03,0,0,0,0,10.18,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,35.23,0,0,0,0,0,0
