stage,axial,blastomeres,epidermis,exocrine.pancreas,eye,glial,hatching.gland,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,spinal.cord
  3-4,0,30.93,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,29.11,75.92,0,0,0,0,0,0,0,28.25,0,0,0,0,0
  7-9,0,0,0,0,7.24,0,8.95,0,0,56.71,8.79,0,19.34,0,0
 10-12,0,0,0,0,4.29,0,0,0,0,54.52,0,0,27.31,0,0
 14-21,0,0,0,0,0,0,0,0,0,6.65,0,0,0,0,2.11
 24-34,0,0,0,0,0,0,0,2.39,0,9.23,0,0.6,0,0,0.67
 36-46,0,0,0,0,1.87,0,0,0,0,15.34,0,0,0,2.4,0
 48-58,0,0,0,0,1.51,0,0,1.76,0,2.97,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,1,0,0,0,1.24,0
 72-82,0,0,0,0,0,0.64,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.17,0,0,0,0,0.66,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83,0
108-118,0,0,0.47,0,0.45,0,0,0.67,0,3.67,0,0,0,3.11,0
