stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,501.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,309.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.21,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.27,27.92,0,63.22,0,0,0,15.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318.89,3.28,0,0,135.77,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.83,0,71.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440.13,8.36,0,0,89.19,0,0,0,0,0,0,10.27,0,0,0,0,0
 14-21,0,0,23.92,48.29,483.97,3.66,0,73.13,0,0,0,95.64,3.88,1.9,0,6.68,26.42,0,1.71,0,3.87,17.3,0,0,7.17,4143.95,7.05,630.26,95.48,4.61,0,7.37,3.89,0,1.72,4.03,1907.45,0,0,0,0,2.12
 24-34,0,0,22.62,1.28,126.69,1.7,0,300.56,0,12.11,0,27.63,0,6.5,0,1.8,11.52,0,4.4,3.2,17.01,33.44,3.09,0,8.81,17503.62,6.69,1270.55,129.56,0,0,19.34,0,0.6,19.26,2.25,2153.57,0,0,12.27,0,0
 36-46,0,0,11.03,0,60.83,2.94,0,637.93,1.17,1.06,0.6,88.43,0.67,0,1.3,1.03,2.98,0,7.46,1.23,3.12,38.08,0,0,10.13,25230.94,0.59,722.03,26.58,0,0,29.99,0,1.6,0,0,4599.66,0,0,3.1,0,0
 48-58,1.16,0,6.75,0,46.99,9.29,0,1006.18,0.88,0.53,0,148.38,7.8,0,4.4,2.89,2.25,0.38,5.64,1.08,4.07,58.5,2.33,0,15.01,15021.97,0,312.2,22.07,0,0,13.62,0,3.39,1.28,0,2358.92,0,0,1.49,0,8.24
 60-70,0,0,27.94,0,37.78,3.98,0,1049.85,0,1.03,5.57,100.14,53.05,0,0,1.81,5.28,9.66,5.51,14.27,0,33.88,0,0,5.85,7100.26,5.91,200.91,13.6,0,0,9.76,0,6.57,1.33,0,576.96,0,0,0.72,0,3.6
 72-82,0,0,220.31,0,119.91,12.29,0,1257.05,0,0.55,2.96,187.19,100.45,0,4.26,10.83,1.59,4.85,14.06,0.57,0,70.25,0.56,3.35,4.32,7569.38,1.05,283.24,53.97,0,7.77,8.33,11.57,7.29,0,0,319.42,40.89,1.95,10.71,2.5,11.49
 84-94,0,0,166.67,0,149.4,3.59,0,976.43,4.63,0.96,8.66,106.29,146.39,2.11,2.09,1.68,0,8.16,33.66,12.91,4.37,51.89,0,11.47,2.02,5548.74,1.88,226.18,40.29,0,0,1.57,0,2.95,0,0,203.02,37.14,8.93,5.99,0.63,0
 96-106,0,0,202.63,0,156.13,13.47,0.6,848.75,6.79,6.29,0,121.16,169.75,0,0,9.9,3.44,0,15.54,20.6,0,99.01,0,8.26,7.75,4927.41,5.81,482.91,23.95,0,3.21,12.45,43.28,0,0,0,160.39,95.79,0,16.75,3.49,5.63
108-118,0,0,109.45,0,90.95,0.73,4.34,696.16,2.98,4.64,0.56,173.96,105.38,0,0.98,2.45,1.25,3.31,25.55,7.9,0,50.56,0,3.66,0,7485.77,4.17,334.14,9.41,0,0,20.31,0,4.5,0,0,92.7,56.68,0,5.9,1.25,0
120,0,0,99.06,0,135.96,9.98,0,747.67,0,0,2.81,206.63,87.68,0,0,31.86,3.66,6.33,3.9,0,0,29.24,0,0,4.71,5315.57,3.03,150.3,19.71,0,0,28.93,0,0,0,0,84.75,12.92,0,0,0,8.45
